UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL101001,168930,544189,470474,141682,73604,1398876,47443,1446323
UCL102001,759,4993,4947,1631,940,13265,432,13701
UCL102002,8232,42732,39805,12610,6437,109828,4580,114410
UCL102003,1672,9994,7842,2189,974,22676,1094,23767
UCL102004,9244,42968,45382,13847,6584,118028,4064,122093
UCL102005,7941,33038,32996,10922,5861,90767,3642,94407
UCL111001,1527,7148,6566,1827,735,17806,698,18506
UCL111002,1493,9187,11047,3541,1795,27069,893,27965
UCL112001,675,3058,2261,561,276,6838,264,7104
UCL112002,876,4243,4238,1404,668,11422,438,11861
UCL112003,1046,5065,3607,1051,450,11214,367,11578
UCL112004,350,3080,3099,921,464,7923,299,8225
UCL112005,520,2858,2632,838,419,7269,361,7631
UCL112006,1378,7448,6400,1685,706,17618,754,18365
UCL112007,850,4534,4518,1347,572,11821,537,12359
UCL112008,764,3122,2738,960,455,8033,387,8421
UCL112009,917,4406,3420,986,418,10144,424,10572
UCL112010,29,190,357,89,56,722,28,755
UCL112011,846,4481,3801,1142,510,10781,517,11298
UCL112012,1005,5117,5045,1368,552,13089,600,13690
UCL112013,1303,7605,6268,1524,629,17323,747,18070
UCL112014,1069,4900,4426,1126,481,11999,689,12685
UCL112015,1251,6723,6652,1953,856,17436,679,18116
UCL113001,660,3237,2236,501,172,6802,353,7156
UCL113002,356,1996,1401,396,154,4311,263,4573
UCL113003,685,2930,2239,626,248,6725,416,7142
UCL113004,90,757,877,214,87,2028,105,2125
UCL113005,671,4115,2493,624,184,8091,478,8577
UCL113006,629,2717,2007,560,242,6156,283,6436
UCL113007,443,2124,2369,734,380,6045,303,6348
UCL113008,400,1423,1106,319,154,3404,231,3640
UCL113009,237,1641,2062,631,316,4886,124,5013
UCL113010,356,2076,2135,794,431,5795,265,6054
UCL113011,613,1863,1330,439,217,4457,259,4715
UCL113012,345,2612,2374,890,489,6706,262,6974
UCL113013,275,1368,1513,451,168,3782,220,4001
UCL113014,332,1405,1438,401,187,3763,155,3920
UCL113015,241,2148,2078,517,198,5169,222,5391
UCL113016,312,1853,1575,548,255,4543,308,4853
UCL113017,261,1644,1856,611,292,4671,146,4819
UCL113018,166,1726,1358,362,194,3806,188,3993
UCL113019,729,2963,2166,635,280,6783,371,7155
UCL113020,271,2283,1928,459,178,5128,240,5370
UCL114001,128,895,729,185,69,2008,79,2081
UCL114002,59,668,658,236,110,1720,77,1801
UCL114003,173,1202,1083,346,159,2968,166,3137
UCL114004,253,1592,1010,265,105,3224,191,3419
UCL114005,378,1660,1227,287,120,3683,212,3891
UCL114006,229,1035,808,246,116,2436,150,2589
UCL114007,212,1016,737,179,90,2230,118,2352
UCL114008,125,856,755,216,91,2051,125,2177
UCL114009,264,1312,1093,286,131,3085,155,3242
UCL114010,209,989,970,265,106,2537,159,2700
UCL114011,196,974,957,285,120,2534,144,2675
UCL114012,221,908,584,170,71,1950,115,2064
UCL114013,206,1148,1082,326,133,2899,182,3075
UCL114014,43,531,890,277,180,1918,35,1958
UCL114015,332,1566,1191,316,134,3540,199,3739
UCL114016,160,876,978,273,139,2419,130,2556
UCL114017,42,641,996,300,118,2104,52,2152
UCL114018,35,585,1313,517,318,2756,82,2839
UCL114019,147,1319,1115,292,97,2975,155,3129
UCL114020,281,963,868,248,91,2452,228,2677
UCL114021,180,1135,1046,351,167,2877,119,2993
UCL114022,254,1382,1173,329,144,3287,165,3457
