UCL_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL101001,..,308395,308395,382429,44765,427194,243382,15236,258612,258730,6918,265647,114596,2768,117366,67015,2087,69102,1066150,380174,1446323
UCL102001,..,4100,4100,3748,317,4065,2137,52,2185,2110,6,2119,896,3,902,323,0,325,9220,4481,13701
UCL102002,..,30670,30670,35729,2932,38665,16749,409,17157,16931,124,17055,7356,43,7400,3452,12,3460,80219,34189,114410
UCL102003,..,7333,7333,8200,782,8983,2950,98,3047,2719,23,2742,1119,3,1121,532,4,536,15522,8241,23767
UCL102004,..,32527,32527,38410,3786,42193,18127,1176,19308,17879,402,18280,6901,125,7021,2669,95,2767,83986,38107,122093
UCL102005,..,23297,23297,28641,2494,31131,14410,725,15141,15069,318,15384,6321,103,6423,2978,63,3038,67413,26993,94407
UCL111001,..,5888,5888,5752,591,6349,2475,124,2600,2292,48,2342,933,8,943,377,4,381,11833,6666,18506
UCL111002,..,6324,6324,8882,583,9467,4568,92,4661,4603,15,4624,1973,4,1982,898,6,907,20932,7031,27965
UCL112001,..,2314,2314,2156,257,2414,920,84,1006,769,43,815,354,18,368,187,0,184,4387,2716,7104
UCL112002,..,3329,3329,3535,400,3936,1673,91,1766,1676,43,1712,747,10,757,351,3,358,7985,3876,11861
UCL112003,..,3693,3693,3677,413,4090,1562,46,1600,1355,13,1370,563,3,573,256,8,259,7414,4168,11578
UCL112004,..,2291,2291,3127,145,3271,1020,19,1032,961,10,968,460,3,465,198,0,196,5762,2462,8225
UCL112005,..,2083,2083,2431,205,2633,1145,15,1165,1044,9,1051,489,3,492,210,0,210,5313,2313,7631
UCL112006,..,5394,5394,6071,621,6693,2532,86,2623,2146,36,2179,971,9,977,494,3,499,12216,6151,18365
UCL112007,..,3390,3390,3773,343,4113,1949,76,2021,1582,10,1595,812,0,809,422,0,419,8530,3826,12359
UCL112008,..,2690,2690,2660,178,2838,1156,22,1182,1017,4,1018,461,8,460,234,7,237,5518,2901,8421
UCL112009,..,3466,3466,3137,429,3566,1432,79,1509,1184,30,1215,545,6,558,262,0,259,6560,4012,10572
UCL112010,..,175,175,244,15,258,105,0,105,139,0,139,68,0,68,17,0,17,561,189,755
UCL112011,..,3340,3340,3629,286,3912,1647,40,1687,1384,16,1395,625,4,628,332,3,337,7615,3684,11298
UCL112012,..,4060,4060,4162,354,4522,1911,43,1953,1848,36,1882,852,13,866,401,3,402,9171,4514,13690
UCL112013,..,5537,5537,6582,526,7108,2195,84,2273,1957,28,1984,834,4,841,328,0,327,11895,6175,18070
UCL112014,..,3914,3914,3977,367,4342,1792,64,1859,1509,21,1529,669,9,676,350,13,368,8296,4391,12685
UCL112015,..,5145,5145,5745,543,6285,2502,137,2639,2298,38,2341,1178,6,1191,512,6,518,12237,5876,18116
UCL113001,..,2653,2653,2549,222,2770,770,31,797,624,11,634,231,3,231,60,0,60,4235,2923,7156
UCL113002,..,1561,1561,1747,110,1856,488,15,507,353,0,359,176,0,176,117,0,117,2884,1692,4573
UCL113003,..,2532,2532,2348,169,2519,929,13,940,720,3,718,293,0,294,142,0,142,4428,2716,7142
UCL113004,..,586,586,835,37,871,233,10,243,270,3,274,121,0,121,36,0,36,1493,636,2125
UCL113005,..,2991,2991,3436,228,3663,879,19,892,640,3,649,239,0,239,138,0,138,5333,3245,8577
UCL113006,..,2139,2139,2039,179,2220,829,17,852,694,5,697,331,0,331,197,0,197,4100,2344,6436
UCL113007,..,1613,1613,1896,152,2053,889,36,924,1005,11,1024,489,8,494,231,8,238,4503,1841,6348
UCL113008,..,1160,1160,1098,108,1203,512,14,525,390,7,401,194,3,198,151,0,153,2350,1285,3640
UCL113009,..,1130,1130,1888,96,1979,713,8,718,729,0,731,335,3,337,110,0,110,3775,1235,5013
UCL113010,..,1582,1582,1826,142,1966,974,10,988,879,6,888,412,0,415,217,0,217,4312,1745,6054
UCL113011,..,1757,1757,1444,106,1550,615,4,626,494,3,499,195,0,194,98,0,98,2844,1872,4715
UCL113012,..,1768,1768,2496,163,2658,976,24,1000,903,10,913,414,0,418,214,3,218,5006,1969,6974
UCL113013,..,1167,1167,1198,111,1309,610,21,628,530,3,534,251,0,253,108,0,109,2700,1300,4001
