UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL101001,293029,50571,63888,1364,697,409544,315972,68585,88784,1006,957,475296,88295,47533,204593,3054,1687,345163,19226,18526,25824,39,125,63744,29121,11197,33830,1041,739,75926,1720,2542,4961,37,109,9373,4461,1992,3479,423,222,10583,2769,923,2256,90,87,6126,145595,82717,274941,4690,2975,510915,3815,2663,5104,57,165,11795,17884,5865,13269,467,1289,38765,776295,210402,445979,7578,6074,1446323
UCL102001,2709,408,224,5,13,3357,3808,801,393,7,11,5014,675,952,1333,8,3,2971,418,147,53,0,0,613,340,237,230,4,3,814,26,55,10,0,0,93,284,40,40,0,0,366,27,9,6,0,0,46,1771,1436,1675,14,10,4908,39,28,3,0,0,73,189,100,58,6,7,348,8513,2775,2355,24,32,13701
UCL102002,31782,5072,2119,307,92,39372,35230,2042,1106,104,50,38536,12625,3541,3520,338,131,20159,1292,1416,855,10,11,3584,4085,710,569,84,44,5497,161,291,196,0,11,666,521,110,66,161,28,884,326,86,61,13,3,497,19022,6154,5268,605,230,31282,397,990,299,3,12,1703,2226,703,406,59,120,3514,88662,14959,9204,1083,504,114410
UCL102003,5838,2172,1090,629,39,9766,4822,1028,413,22,11,6293,1302,1170,1255,9,11,3745,163,328,238,0,0,728,716,475,344,20,16,1570,33,72,23,0,0,124,94,50,43,114,12,312,58,35,22,3,3,123,2360,2128,1930,144,46,6610,74,149,48,8,0,280,320,254,175,50,10,813,13419,5726,3656,855,109,23767
UCL102004,35463,4112,1404,269,55,41316,37665,2318,1075,43,53,41154,11635,4433,3934,150,115,20262,2423,2126,1993,10,19,6574,4722,1112,913,49,49,6839,201,306,211,5,9,732,424,138,91,101,10,768,305,76,62,3,3,455,19709,8192,7203,318,206,35632,484,325,178,6,11,1004,1995,482,409,45,62,2990,95313,15434,10271,684,395,122093
UCL102005,27179,2891,2105,431,138,32749,25834,2287,1714,57,74,29970,6345,3298,5613,113,74,15454,3207,1985,1675,9,7,6878,2602,817,1007,58,38,4522,120,181,146,10,7,465,214,88,107,85,9,502,203,67,99,10,6,388,12689,6444,8649,281,150,28205,255,304,174,14,63,813,1572,435,472,59,141,2675,67527,12358,13114,845,564,94407
UCL111001,5024,458,22,34,10,5551,5437,323,20,7,9,5799,2340,1882,263,17,10,4512,499,174,19,0,10,691,685,246,18,7,7,968,57,65,0,0,3,126,64,20,4,12,0,108,51,11,3,0,0,65,3690,2400,304,36,41,6477,153,11,0,3,6,171,356,125,27,3,4,511,14662,3325,379,82,65,18506
UCL111002,7501,455,35,25,137,8159,10121,275,30,20,24,10463,3844,1111,364,19,16,5359,942,330,115,3,3,1396,954,148,35,4,5,1147,36,38,26,0,6,105,258,24,11,23,10,328,65,11,4,0,3,84,6100,1665,555,60,46,8417,87,108,0,0,58,251,462,69,21,8,109,673,24276,2563,645,102,376,27965
UCL112001,2004,94,18,6,14,2131,1659,48,16,0,8,1725,1107,537,247,10,21,1918,255,94,111,0,0,455,314,53,43,0,10,422,46,11,35,0,0,99,47,6,3,4,4,62,31,9,0,0,0,37,1800,706,442,15,33,2998,42,3,9,0,6,56,133,30,24,0,8,195,5638,888,497,22,56,7104
UCL112002,3182,276,54,9,4,3537,3639,164,38,7,0,3850,1634,674,341,9,6,2666,353,121,57,0,0,531,501,122,46,0,0,673,36,14,0,0,54,105,32,12,9,0,4,64,35,11,6,3,0,61,2592,950,464,20,74,4100,39,12,3,0,7,67,197,46,20,0,47,310,9652,1452,581,38,140,11861
