UCL_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL101001,1042582,1091664,2134247,111875,114492,226368,460187,470700,930893,10465,10246,20713,13092,13381,26468,3502,3498,7001,4633,4394,9027,983,1022,2009,1067,938,2007,3819,3878,7694,60,33,89,497809,508101,1005905,191410,200110,391518,11000,9832,20828,812090,832526,1644618,132495,129325,261818,1987176,2053517,4040689
UCL102001,8927,8995,17923,1129,1196,2322,2881,2919,5795,261,231,492,326,335,662,71,76,150,78,70,153,35,21,53,87,83,168,1126,1123,2248,0,0,4,4868,4856,9724,709,786,1500,114,101,213,6818,6942,13760,1092,1102,2195,16842,17035,33872
UCL102002,76364,81326,157694,10627,11673,22301,36738,40442,77187,452,500,954,1250,1313,2563,171,195,365,319,355,670,101,116,218,128,128,254,198,222,420,3,4,8,39365,43279,82641,2638,2953,5593,926,894,1822,53560,58803,112363,9293,10169,19463,139224,150298,289522
UCL102003,13536,14933,28477,2166,2391,4554,4681,5392,10074,305,338,644,2833,3046,5882,78,70,148,109,133,240,65,57,121,59,65,127,76,78,156,6,10,13,8215,9191,17398,596,673,1271,197,199,392,11173,12446,23613,2221,2455,4676,26931,29835,56764
UCL102004,83712,87225,170936,9713,9966,19683,37831,40755,78588,684,752,1437,1516,1575,3086,267,248,510,387,400,793,139,165,309,214,223,439,337,356,688,5,8,11,41384,44485,85864,4381,4488,8864,949,936,1886,56425,59875,116302,7745,8066,15808,147887,155160,303048
UCL102005,70709,73299,144012,8691,8983,17678,26398,28333,54731,380,445,828,796,835,1625,97,146,245,231,218,449,91,93,183,75,81,150,325,362,682,8,3,7,28391,30509,58903,4925,4394,9316,632,643,1274,42643,44526,87172,7383,7703,15086,120740,125527,246267
UCL111001,11180,11828,23011,1895,2157,4053,3921,4411,8330,1476,1652,3130,306,311,619,62,62,115,92,86,176,50,43,97,44,33,81,66,92,157,0,0,0,6007,6693,12703,474,596,1069,159,188,346,8532,9629,18170,1823,1886,3708,21534,23348,44884
UCL111002,18746,19337,38082,3557,3871,7425,9068,10027,19090,143,154,299,465,537,997,70,77,150,81,73,153,27,30,55,69,75,146,55,58,106,0,0,0,9981,11025,21006,462,626,1089,220,188,405,14212,15711,29923,2063,2093,4160,35027,37135,72163
UCL112001,4045,4458,8503,1570,1712,3284,1594,1868,3464,85,98,180,242,294,533,16,25,39,38,36,75,15,22,41,15,19,43,30,22,58,3,0,3,2036,2393,4429,582,627,1209,67,47,112,4258,4781,9041,784,876,1654,9083,10115,19201
UCL112002,7329,7600,14921,2179,2394,4571,3559,3864,7424,53,58,113,140,165,303,18,33,49,40,33,77,15,9,23,18,21,38,36,39,76,0,3,4,3886,4224,8107,274,299,574,103,82,186,6443,6999,13444,1712,1305,3017,15487,15895,31385
