UCL_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
UCL101001,134945,4775,200,139926,1795,291,23,35,2143,348,39,388,2532,193,3,2729,3924,611,31,106,4675,313,96,407,5082,233,14,5328,5721,904,56,135,6816,665,135,800,7617,422,19,8056,122568,13199,1487,1858,139115,2763,682,3445,142561,5192,223,147978,43383,8479,744,1551,54158,1864,508,2368,56520,10010,260,66794,243,63,3,231,530,10,10,21,549,79,629,1255,166196,21737,2239,3637,193804,4637,1193,5833,199637,15278,1113,216031,29451,3050,223,205,32925,758,193,953,33878,1775,32,35688,33059,3797,308,328,37487,525,124,646,38134,1217,41,39392,849,145,187,16,1190,24,4,26,1215,75,3,1289,405,71,12,430,915,18,7,22,938,78,31,1047,63760,7056,726,969,72518,1320,326,1650,74164,3149,107,77417,923,174,11,20,1134,193,26,216,1346,93,0,1442,1778,347,19,43,2183,166,84,250,2436,165,7,2613,2694,520,32,66,3313,356,106,465,3779,263,13,4050,66457,7579,761,1034,75833,1681,435,2114,77950,3405,114,81469,19275,3959,328,696
UCL102001,1364,36,0,1393,21,4,0,0,25,0,0,0,26,0,0,26,13,7,0,0,21,0,0,3,25,0,0,25,36,5,0,0,39,0,0,5,49,0,0,49,1253,97,14,16,1375,17,7,33,1407,36,0,1442,193,19,11,11,235,3,0,4,239,37,0,275,3,0,0,5,5,0,0,0,5,0,3,9,1445,121,19,35,1623,28,11,37,1653,68,3,1727,384,28,10,4,423,3,0,9,427,13,0,446,280,27,9,4,321,4,3,8,332,8,0,337,12,0,5,0,12,0,0,0,12,0,0,12,0,0,0,3,4,0,0,0,4,0,0,4,680,56,19,12,764,8,3,11,774,26,0,802,5,0,0,0,5,0,0,0,5,0,0,5,7,3,0,0,8,0,0,0,11,0,0,11,12,6,0,0,14,0,0,0,14,0,0,14,689,58,19,12,778,8,3,12,791,26,0,820,94,11,0,7
UCL102002,9201,403,13,9611,76,13,0,0,92,10,0,12,108,11,0,116,313,37,6,6,359,23,0,18,375,16,0,395,392,48,8,3,447,31,0,30,486,29,0,511,8225,953,168,138,9490,153,45,194,9679,429,13,10124,2473,316,80,71,2934,93,13,108,3038,383,5,3427,16,4,0,10,35,0,0,0,35,3,19,55,10720,1268,251,217,12454,245,58,303,12757,819,32,13608,1726,225,24,15,1989,21,7,35,2026,111,0,2132,2895,302,45,24,3259,39,16,53,3311,117,4,3425,77,10,22,0,109,3,4,4,118,6,0,125,24,3,0,21,54,0,0,0,54,7,3,61,4721,530,95,64,5411,64,22,88,5501,236,8,5740,61,6,3,3,71,4,0,5,74,9,0,82,144,17,0,3,163,8,0,8,173,18,0,190,204,20,3,7,233,17,0,18,245,25,0,273,4923,553,95,70,5645,80,24,104,5747,257,8,6013,1113,157,32,33
UCL102003,1512,65,3,1570,8,0,0,0,12,0,0,0,12,3,0,16,46,0,0,0,47,4,0,4,50,4,0,54,55,3,0,0,61,4,0,4,62,6,0,68,1288,202,29,10,1531,37,9,46,1573,69,3,1640,329,80,6,3,414,14,3,25,439,72,0,512,0,0,0,3,3,0,0,0,3,0,4,7,1618,280,36,15,1951,52,15,69,2012,140,9,2158,277,34,6,3,323,9,3,9,334,17,0,349,417,74,5,6,498,4,3,11,511,15,0,524,5,4,5,0,15,0,0,0,13,0,0,13,5,0,0,6,9,0,0,0,9,0,0,9,702,116,13,10,843,15,10,21,864,31,0,902,4,0,0,0,6,0,0,0,13,0,0,14,19,0,0,0,21,0,0,0,27,3,0,26,26,4,0,0,33,3,0,3,35,3,0,37,734,116,13,10,876,15,10,28,897,32,0,933,134,24,3,0
UCL102004,10146,362,4,10515,72,14,0,4,95,16,0,16,106,8,0,116,219,33,5,3,259,29,5,34,290,18,0,310,293,49,5,8,350,39,5,46,400,30,0,429,9008,1059,148,106,10319,188,45,228,10547,388,3,10944,1990,259,49,39,2338,90,20,106,2443,445,6,2894,13,6,0,7,28,0,0,0,28,8,13,51,11008,1318,200,151,12677,278,63,336,13020,846,33,13894,1834,196,25,10,2057,36,6,41,2105,142,3,2244,2922,323,45,21,3316,45,13,62,3373,109,6,3482,94,12,19,0,118,4,0,4,126,3,0,123,27,5,0,28,64,0,0,0,63,4,0,71,4880,533,89,53,5555,93,19,107,5668,256,12,5930,55,15,0,0,70,3,0,3,72,0,0,69,98,15,0,0,122,7,6,9,131,15,0,144,153,31,0,0,189,12,6,12,203,11,0,220,5035,571,86,55,5742,101,24,125,5869,265,12,6146,906,112,30,19
UCL102005,8187,323,11,8520,88,21,0,0,108,6,0,6,117,8,0,126,253,28,4,3,285,21,7,24,312,20,0,333,339,44,6,5,393,26,7,36,428,24,0,453,7394,821,137,89,8439,126,47,175,8611,346,14,8972,1970,305,48,54,2383,75,28,103,2483,510,4,2999,13,4,0,5,25,0,0,0,21,0,25,49,9380,1134,191,149,10849,200,77,278,11124,854,45,12022,1523,181,21,9,1728,34,12,51,1781,94,0,1876,2507,257,35,26,2829,28,5,34,2864,72,0,2936,68,17,19,0,110,3,0,3,109,8,0,121,13,0,0,22,41,0,0,0,37,0,3,47,4111,459,79,57,4705,71,18,87,4793,182,0,4975,53,11,0,0,61,3,3,7,69,9,0,78,114,5,3,0,120,13,3,13,135,7,0,150,170,15,4,3,185,16,4,21,203,23,0,230,4277,468,81,64,4892,82,24,108,5001,196,4,5199,950,141,31,19
UCL111001,1363,62,0,1431,4,6,0,0,7,0,0,0,9,3,0,10,27,4,0,0,36,0,0,0,37,0,0,38,37,8,0,0,46,3,0,3,45,5,0,53,1216,133,29,11,1394,16,3,15,1410,69,0,1479,274,61,6,11,347,15,0,15,367,72,3,437,0,0,0,0,0,0,0,0,0,0,11,11,1492,191,36,24,1740,29,3,31,1776,138,11,1925,280,24,8,0,310,4,3,9,318,17,0,338,399,37,4,0,439,6,0,9,446,13,0,461,14,7,3,0,29,0,0,0,31,0,0,31,3,0,0,0,5,0,0,0,5,0,0,5,699,65,13,5,784,11,7,13,798,31,0,830,3,3,0,0,6,0,0,0,8,0,0,8,10,0,0,0,13,0,0,0,10,0,0,11,11,3,0,0,21,3,0,3,21,0,0,21,711,69,17,4,805,15,7,15,821,33,0,857,125,28,0,0
UCL111002,2702,78,9,2786,30,5,0,0,35,17,0,17,50,6,0,53,89,13,0,0,104,10,0,9,112,3,3,124,121,16,0,3,142,19,0,23,169,6,3,177,2479,241,46,24,2795,69,3,71,2863,88,11,2964,734,80,23,24,860,43,8,54,915,98,4,1011,6,0,0,3,10,0,0,0,10,0,3,12,3222,319,66,55,3665,115,16,124,3791,191,19,3994,514,39,4,4,562,13,3,11,573,26,0,606,740,62,18,7,831,15,6,20,850,25,3,878,29,0,7,0,33,0,0,0,33,6,0,38,8,0,0,8,13,0,0,0,13,0,0,13,1285,108,27,20,1440,29,4,33,1475,60,3,1530,16,7,0,0,26,6,0,3,30,0,0,31,46,4,0,0,47,4,0,4,52,3,0,62,65,5,0,0,74,8,3,11,84,3,0,93,1349,116,31,18,1513,38,10,47,1554,61,3,1623,318,49,5,9
UCL112001,453,31,0,489,0,4,0,0,9,3,0,3,7,3,0,11,0,0,0,0,3,0,0,0,5,0,0,5,9,4,0,0,13,8,0,8,15,3,0,17,392,49,14,4,459,7,0,9,470,37,0,508,120,19,3,3,150,3,3,7,157,64,0,219,0,0,0,0,0,0,0,0,0,0,3,3,513,68,15,8,612,15,3,16,628,100,3,731,111,21,0,0,133,4,0,3,138,5,0,143,118,25,0,3,145,0,0,0,149,7,0,151,3,3,0,0,6,0,0,0,6,0,0,6,5,0,0,0,7,0,0,0,7,0,0,7,238,44,3,3,290,7,0,7,297,11,0,307,3,0,0,0,0,3,0,3,7,0,0,6,3,0,0,3,8,0,0,0,7,0,0,7,3,0,0,3,8,3,0,3,9,0,0,16,240,46,3,6,297,9,0,10,311,12,0,321,55,5,0,0
UCL112002,1110,44,0,1152,5,0,0,0,5,0,0,0,12,3,0,14,19,0,0,0,25,3,0,3,26,0,0,28,27,0,0,0,33,3,0,3,37,0,0,39,1008,93,18,7,1127,12,0,16,1141,50,0,1192,234,36,3,8,278,16,0,15,296,59,0,360,0,0,0,0,0,0,0,0,0,0,5,5,1243,121,26,17,1408,32,3,34,1442,111,6,1552,293,23,5,4,323,3,0,3,325,15,0,342,268,28,3,3,310,0,0,5,308,13,0,322,21,0,8,0,26,0,0,0,26,0,0,26,4,0,0,3,9,0,0,0,9,0,0,9,583,57,11,8,664,7,0,3,664,26,0,694,5,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,8,0,0,0,10,0,0,17,19,0,0,0,19,0,0,0,20,0,0,22,604,57,11,8,677,7,3,9,683,23,0,714,87,12,3,3
