UCL_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL101001,23091,670,255,920,24005,4181,103,28289,191287,19595,1783,1374,214033,4502,1171,5671,219712,12123,203,232032,216311,26120,2155,1900,246485,3343,806,4151,250629,8042,240,258913,20829,2101,2609,248,25781,308,33,332,26118,710,26,26858,3106,446,78,3261,6889,116,48,171,7056,497,273,7819,431524,48260,6629,6777,493190,8268,2062,10327,503516,21374,740,525625,6576,1110,89,153,7926,1273,150,1423,9351,734,12,10097,11949,2227,123,317,14613,1045,495,1537,16157,1037,42,17232,18520,3335,220,470,22545,2321,644,2958,25500,1771,57,27324,450053,51591,6844,7241,515729,10586,2706,13288,529017,23144,789,552952,158221,31948,3103,5458,198729,6854,2104,8962,207685,41084,858,249630,865,233,13,870,1978,40,15,62,2035,275,2210,4522,609132,83772,9961,13572,716434,17481,4827,22311,738744,64499,3856,807095
UCL102001,118,0,0,0,118,11,0,137,2217,178,31,11,2447,41,7,46,2489,98,0,2586,1900,164,23,15,2106,18,7,32,2134,54,5,2194,264,27,47,0,339,0,7,4,344,5,0,350,34,3,0,28,62,0,0,0,62,6,0,70,4417,374,104,54,4945,60,17,78,5023,166,5,5192,48,3,0,0,56,4,0,4,61,0,0,61,58,10,0,0,70,3,3,8,75,0,0,79,106,20,0,4,125,5,3,12,136,0,0,133,4521,393,101,56,5069,66,18,88,5157,165,5,5330,811,81,20,44,959,26,4,33,996,130,3,1120,7,3,0,9,16,0,0,0,16,0,8,21,5347,472,125,102,6045,97,22,120,6167,292,10,6477
UCL102002,845,21,8,25,869,112,3,986,9497,1309,144,74,11021,184,52,239,11257,726,17,12000,17257,1822,239,132,19450,235,66,302,19753,680,16,20447,1449,172,223,21,1876,29,9,33,1905,69,3,1980,210,18,7,179,410,9,0,15,424,26,13,460,28415,3318,620,405,32753,454,126,581,33341,1506,51,34890,321,37,11,11,376,40,12,48,426,39,0,466,876,103,13,15,1001,57,9,63,1064,68,3,1133,1197,136,20,24,1380,92,20,113,1490,104,3,1594,29609,3455,640,424,34135,548,142,698,34831,1606,52,36486,8563,1163,263,221,10205,320,68,390,10596,1434,23,12049,62,10,7,28,100,0,0,0,100,8,94,197,38233,4623,913,677,44440,869,210,1080,45528,3050,169,48739
UCL102003,85,4,0,4,89,25,0,109,1465,234,28,13,1748,44,10,61,1802,103,3,1909,2690,469,47,16,3221,46,18,68,3289,134,0,3426,186,38,34,3,262,3,3,7,263,4,0,269,31,4,0,27,64,0,0,0,70,5,3,75,4378,748,113,59,5295,101,39,133,5430,242,4,5675,48,9,0,0,53,3,0,3,55,11,0,69,138,11,0,0,157,10,0,9,166,14,0,179,182,20,0,0,211,19,0,14,228,23,0,247,4566,764,114,60,5506,112,39,149,5654,261,4,5921,1183,269,38,15,1503,63,12,74,1576,265,0,1841,3,0,0,9,11,0,0,0,11,3,19,34,5755,1029,151,88,7024,180,50,221,7245,531,31,7802
UCL102004,964,22,6,34,999,156,7,1158,10314,1280,150,64,11809,249,57,312,12122,792,17,12931,19443,2113,259,153,21967,282,51,329,22304,684,15,23005,1754,201,212,13,2178,34,16,50,2229,60,4,2300,179,21,3,165,358,4,0,4,363,22,6,398,31687,3615,622,392,36320,569,128,697,37020,1568,42,38627,278,64,0,9,347,48,4,52,405,26,0,430,666,98,10,9,786,69,20,92,877,62,0,941,942,167,13,15,1136,117,24,144,1284,85,3,1374,32630,3780,639,401,37458,687,153,843,38300,1652,41,39997,7256,921,208,165,8547,329,72,407,8953,1594,23,10569,43,18,3,33,89,0,0,0,89,26,70,184,39930,4717,848,596,46089,1021,232,1248,47339,3269,139,50751
UCL102005,923,17,14,25,957,157,3,1114,8560,1073,132,48,9818,171,79,253,10072,629,3,10700,15478,1635,218,129,17452,191,52,241,17695,588,16,18298,1352,162,209,25,1740,23,0,22,1769,54,3,1823,107,5,11,118,240,8,0,8,247,21,9,273,25494,2877,569,312,29256,389,127,521,29778,1289,33,31096,285,52,6,12,352,36,6,42,398,49,0,443,733,75,11,15,828,59,18,78,909,46,3,958,1014,130,17,18,1183,98,23,126,1303,97,3,1405,26515,3008,585,339,30437,489,157,643,31081,1385,32,32499,7235,1155,198,206,8789,278,118,398,9190,1961,23,11177,35,15,0,20,67,3,0,3,72,9,86,163,33778,4179,778,561,39296,770,279,1050,40343,3350,144,43836
UCL111001,61,0,0,0,65,10,0,79,1465,152,29,11,1666,13,5,20,1681,102,5,1785,2628,283,34,21,2960,45,4,50,3013,85,3,3097,250,43,37,0,330,0,0,0,331,0,0,331,39,3,0,15,57,0,0,0,57,3,0,60,4374,476,102,49,5013,59,15,72,5079,192,7,5280,32,10,0,0,41,7,0,7,47,3,0,53,90,9,0,0,102,5,4,9,114,6,0,116,117,26,0,0,145,12,4,14,158,8,0,167,4493,502,106,49,5158,66,20,89,5244,195,7,5448,1071,196,16,23,1308,63,9,76,1385,277,8,1668,0,0,0,4,3,0,0,0,3,0,26,34,5570,700,127,83,6469,131,26,164,6632,476,44,7151
UCL111002,181,6,3,8,189,23,0,212,2900,282,32,15,3233,70,11,85,3316,174,3,3495,4850,460,74,34,5429,85,12,92,5523,145,10,5674,439,30,52,4,530,13,0,13,546,10,0,554,49,3,0,37,92,8,0,8,93,0,6,98,8243,773,162,99,9283,172,25,193,9479,332,16,9829,100,28,3,7,136,36,7,40,181,12,0,189,310,39,3,4,351,22,9,30,386,17,6,414,411,65,7,9,495,58,14,76,567,29,6,603,8655,838,173,110,9778,229,36,266,10043,360,26,10431,2477,322,88,59,2945,133,38,176,3122,337,4,3466,15,0,0,12,30,0,0,0,30,3,10,46,11151,1156,262,180,12752,367,77,443,13195,700,48,13944
UCL112001,10,0,0,0,10,0,0,16,541,82,5,7,633,19,7,21,658,49,0,711,736,120,16,6,873,12,0,12,885,41,0,933,55,14,23,0,94,3,0,3,97,3,0,95,15,0,0,10,23,0,0,0,23,0,0,23,1344,218,45,20,1626,34,7,35,1664,92,0,1753,7,3,0,0,16,13,0,13,25,4,0,28,12,0,0,8,19,7,0,7,29,0,0,28,21,8,0,8,33,16,0,16,50,8,0,57,1362,222,45,28,1651,54,7,59,1709,100,0,1812,442,89,8,11,545,17,9,32,574,195,0,774,6,0,0,0,6,0,0,0,6,0,4,8,1809,313,48,39,2209,66,16,87,2296,294,4,2595
UCL112002,46,0,0,0,46,5,0,54,1394,105,23,15,1533,17,4,23,1558,90,3,1644,1800,159,24,18,2007,14,0,20,2026,52,0,2077,196,6,24,3,228,3,0,3,233,6,0,240,33,4,0,12,46,0,0,0,46,0,0,54,3420,282,66,43,3818,38,6,43,3857,153,3,4011,25,0,0,0,23,6,0,6,27,3,0,31,67,4,0,0,71,3,3,7,76,9,0,86,86,4,0,0,92,6,3,14,105,9,0,115,3502,285,69,47,3907,44,7,56,3966,156,3,4123,767,113,14,23,923,57,7,67,990,197,3,1191,0,0,0,3,7,0,0,0,7,0,12,10,4277,404,85,75,4836,101,14,118,4953,361,17,5332
