UCL_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL101001,4837,9397,6508,4549,6284,3007,1586,36174,687,411,235,184,289,162,112,2081,265,370,284,214,337,164,98,1724,10502,20175,15216,11337,17253,9178,5095,88754,463,1065,658,521,747,343,185,3986,891,1804,1048,687,800,372,177,5780,1351,2863,1712,1207,1549,712,367,9770,11855,23037,16926,12547,18802,9894,5466,98521,15297,14966,8360,5640,7087,3609,2242,57208,337,377,220,158,106,63,38,1306,27490,38382,25502,18348,25996,13568,7747,157033
UCL102001,71,98,58,41,37,10,8,323,14,9,0,4,3,0,0,34,6,3,3,0,3,0,0,16,170,260,159,126,187,73,30,1004,3,9,5,3,3,0,0,30,15,19,7,3,0,0,0,50,16,31,11,4,5,3,3,82,186,293,172,130,194,75,29,1083,164,122,41,32,31,6,3,406,5,3,0,0,5,0,0,13,359,414,218,167,225,85,36,1502
UCL102002,589,1319,949,626,806,188,80,4551,82,67,50,25,50,11,10,292,23,39,25,32,22,6,0,145,1023,2232,1735,1268,1847,551,247,8895,67,166,93,56,93,17,5,501,152,264,117,61,73,18,6,698,224,426,211,117,172,35,12,1197,1245,2655,1947,1385,2012,579,260,10092,1969,1737,927,570,624,145,69,6037,21,23,20,15,3,0,0,85,3238,4416,2901,1971,2643,728,330,16216
UCL102003,112,250,188,102,168,59,18,896,15,10,8,9,12,4,0,46,5,4,4,3,9,4,0,25,172,398,301,223,359,117,38,1615,11,23,19,4,18,8,0,75,18,41,29,12,11,0,3,111,31,62,44,20,27,7,3,189,206,462,351,240,388,121,41,1806,249,238,138,71,112,29,10,851,6,5,3,7,0,3,0,20,454,704,490,318,506,152,49,2680
UCL102004,622,1232,819,536,704,226,91,4231,65,67,48,37,44,17,5,285,21,26,28,12,19,5,4,118,1000,2109,1601,1169,1731,632,296,8534,59,163,94,69,81,19,9,491,125,210,104,51,68,15,8,589,180,371,193,119,151,34,22,1077,1183,2475,1798,1290,1885,670,313,9609,1578,1408,783,548,543,112,78,5049,28,37,17,17,9,4,0,117,2788,3924,2595,1858,2430,780,394,14775
UCL102005,507,960,630,445,586,189,77,3394,51,49,33,30,36,4,3,215,25,22,22,10,15,5,0,99,853,1648,1239,955,1407,538,245,6881,42,125,78,58,87,22,9,419,108,186,93,47,63,14,9,522,156,316,168,101,146,36,25,945,1006,1960,1408,1054,1555,575,268,7826,1381,1252,659,458,511,160,80,4499,15,25,22,14,10,3,0,92,2403,3237,2091,1528,2068,739,341,12411
UCL111001,115,199,116,82,109,29,6,654,10,20,8,3,3,0,0,52,4,3,3,5,4,0,0,24,186,340,265,189,256,58,18,1310,14,38,19,15,16,4,0,110,22,45,20,12,9,0,0,103,31,88,38,28,28,4,0,217,219,425,302,224,279,61,18,1528,316,286,165,95,78,15,15,971,7,6,4,4,0,0,0,17,542,710,473,320,361,74,32,2519
UCL111002,231,349,245,128,170,39,22,1185,25,23,9,9,12,0,0,75,6,8,7,7,5,0,3,45,391,616,459,286,446,117,71,2389,29,53,45,29,32,5,0,197,58,98,32,19,26,11,0,242,88,149,82,44,54,15,0,438,482,769,540,335,504,132,73,2832,641,538,292,145,164,28,21,1832,9,17,6,3,3,0,0,35,1137,1324,837,484,670,162,92,4698
UCL112001,41,68,49,40,58,3,0,262,4,0,3,3,5,3,0,23,3,0,3,0,0,0,0,5,73,109,110,96,133,21,9,557,3,13,6,5,4,0,0,43,10,18,5,0,4,0,0,37,14,32,13,8,14,3,0,83,84,143,127,107,145,24,9,640,150,128,61,42,32,9,5,419,3,3,3,3,0,0,0,14,241,280,195,150,177,29,10,1073
UCL112002,98,157,101,67,77,18,5,520,18,12,4,0,3,0,0,38,0,3,0,3,6,0,0,10,168,304,215,153,203,54,19,1111,8,32,9,11,5,3,0,66,14,34,22,13,18,0,0,97,21,62,30,22,21,3,0,167,195,370,245,178,220,63,19,1280,264,185,108,68,78,11,0,710,9,3,4,0,0,0,0,19,461,561,351,241,294,75,15,2002
UCL112003,70,130,100,66,78,18,10,470,4,3,7,5,0,0,0,16,0,4,3,0,5,0,0,16,95,202,160,105,172,45,21,805,0,3,0,0,10,0,0,16,7,19,13,5,7,0,0,53,10,22,11,8,12,0,3,72,104,224,169,116,184,45,26,873,131,137,67,43,55,17,10,465,0,0,0,0,4,0,0,5,236,369,241,160,246,62,37,1341
UCL112004,31,73,44,31,45,12,6,240,0,6,0,3,5,0,0,10,0,0,0,0,0,0,0,6,39,115,90,82,119,27,14,492,0,3,3,0,6,0,0,9,5,8,5,3,0,0,0,23,7,11,11,4,9,0,0,33,44,127,95,83,123,27,14,519,60,46,37,30,36,6,0,222,0,0,0,0,0,0,0,3,110,173,135,117,166,35,14,746
UCL112005,67,127,84,42,54,5,3,381,16,3,0,0,0,0,0,26,0,3,4,3,4,0,0,13,113,192,123,81,106,24,10,642,19,25,17,4,7,0,0,71,20,32,9,17,9,0,0,95,42,55,29,22,19,0,0,167,150,249,154,100,118,26,11,806,332,249,116,76,55,12,0,839,3,8,3,0,0,0,0,11,481,501,268,180,174,35,18,1658
UCL112006,125,279,184,120,152,26,7,897,5,11,7,4,8,0,0,28,0,5,7,3,8,0,3,26,192,444,329,246,336,62,18,1635,10,39,18,21,7,13,0,107,16,40,7,13,23,3,0,104,29,80,23,33,28,16,0,213,221,526,357,277,365,79,19,1848,295,317,168,108,106,35,17,1043,0,3,3,7,4,0,0,19,518,850,531,392,471,113,34,2911
UCL112007,138,200,94,63,68,14,6,595,10,9,5,5,3,3,0,37,3,11,6,14,11,0,0,44,238,384,216,142,209,34,15,1241,17,27,19,14,5,0,0,82,30,41,16,11,11,3,0,108,52,68,29,20,17,5,0,189,286,449,243,165,229,39,13,1426,325,271,115,72,78,11,8,877,9,6,3,3,3,0,0,25,622,729,366,240,308,49,19,2334
UCL112008,53,104,55,47,46,6,3,313,7,5,3,6,0,3,0,29,8,7,3,0,4,0,0,19,100,174,115,92,126,16,9,640,8,10,16,8,11,0,0,51,15,21,13,4,10,0,0,65,19,39,25,5,19,0,0,114,122,213,141,103,142,21,9,750,159,131,56,33,53,3,3,440,16,6,3,4,0,0,0,22,301,347,204,133,197,19,14,1211
UCL112009,66,148,107,66,101,19,5,512,11,14,3,0,4,0,0,28,0,3,3,3,3,0,0,23,118,265,215,138,231,51,17,1033,5,20,12,5,15,4,0,69,7,26,17,3,9,3,0,66,9,50,29,16,24,4,0,134,125,314,247,151,255,56,19,1163,214,233,126,63,74,24,11,740,4,3,6,0,0,0,0,11,347,551,376,213,331,79,25,1920
UCL112010,4,10,7,3,10,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,8,11,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,11,8,11,3,0,52,16,9,13,3,3,0,0,40,0,0,0,0,0,0,0,0,19,26,27,9,14,3,0,90
UCL112011,99,150,113,57,70,19,10,516,15,7,6,3,9,0,0,37,0,10,3,0,4,0,0,19,144,228,182,125,177,43,11,912,7,15,19,5,4,0,0,58,16,25,8,13,9,0,0,70,24,38,28,17,15,3,0,131,165,269,208,139,188,50,16,1038,313,296,153,99,81,8,6,960,3,11,7,7,0,0,0,20,486,577,367,247,274,59,19,2024
UCL112012,109,158,93,53,72,16,3,504,14,16,8,3,4,0,0,51,4,8,3,0,0,0,0,25,196,323,215,146,210,53,13,1160,15,29,19,14,16,0,0,92,35,42,10,6,9,4,0,105,56,65,32,22,21,7,0,195,249,387,247,167,237,58,11,1351,311,230,117,61,74,13,5,815,5,6,4,9,0,0,0,22,563,623,367,237,308,74,13,2190
UCL112013,98,201,104,92,134,16,6,650,4,10,4,8,7,0,0,34,3,10,3,3,4,0,0,19,147,339,221,188,290,39,13,1246,3,13,20,7,16,0,0,58,10,32,16,10,13,0,0,78,17,42,31,17,24,3,3,136,161,383,254,204,317,41,12,1379,233,223,122,81,70,17,12,762,3,3,5,0,4,0,0,20,408,605,379,290,391,62,24,2163
UCL112014,116,156,125,91,95,9,3,596,20,10,3,0,3,3,0,44,3,11,0,4,4,0,0,30,182,296,219,177,206,26,7,1118,25,31,15,10,8,0,0,95,27,55,24,12,10,4,0,136,52,88,43,18,14,3,0,230,238,385,265,199,224,27,10,1349,405,334,167,93,74,10,3,1079,7,7,0,5,0,0,0,22,649,728,434,289,296,43,15,2450
UCL112015,109,211,115,83,104,17,0,633,13,15,11,3,6,3,0,45,8,4,0,4,0,0,0,27,197,409,247,213,299,57,18,1433,13,28,17,19,11,4,4,95,22,39,14,13,9,0,0,102,35,71,38,28,23,3,4,195,232,481,284,238,325,56,21,1630,432,312,146,104,105,12,8,1120,12,9,12,3,0,0,0,37,677,802,438,338,426,75,28,2779
UCL113001,35,92,58,42,51,8,0,289,3,3,4,0,3,0,0,14,0,0,0,3,0,4,0,9,48,129,89,81,89,33,3,477,4,5,0,0,3,3,0,20,6,7,4,11,3,0,0,35,12,17,4,6,7,4,0,49,58,151,95,91,99,36,3,527,61,82,54,27,33,5,3,267,0,4,3,0,0,0,0,4,118,227,144,122,131,42,8,800
UCL113002,29,72,46,23,31,4,0,206,3,5,3,4,0,0,0,18,0,0,0,5,0,0,0,8,47,99,71,45,71,9,0,350,4,15,3,3,8,0,0,34,9,12,3,3,0,0,0,30,11,25,9,7,12,0,0,58,59,123,75,52,83,9,0,411,88,92,52,31,20,5,0,286,0,0,0,0,0,0,0,0,145,214,127,89,99,19,3,694
UCL113003,77,80,64,34,51,9,0,308,7,9,3,4,3,0,0,30,0,0,3,0,5,0,0,10,103,142,108,87,113,15,0,575,8,15,14,6,7,0,0,46,11,15,4,7,9,0,0,48,16,30,14,16,9,0,0,93,119,174,122,109,122,18,0,663,176,132,64,38,50,0,0,460,18,9,3,0,0,0,0,27,312,312,189,148,172,23,0,1158
UCL113004,12,19,6,4,15,0,0,49,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,14,29,25,13,28,5,0,114,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,8,0,3,3,0,0,0,0,9,14,33,22,10,30,5,0,120,14,16,6,0,3,0,0,44,0,0,0,0,0,0,0,3,35,51,33,14,34,9,0,171
UCL113005,51,89,61,44,50,3,0,304,11,3,3,0,0,0,0,24,0,0,0,0,0,0,0,4,77,140,103,63,108,12,4,507,4,12,4,8,7,0,0,40,8,17,3,3,3,0,0,30,9,25,7,11,10,0,0,73,88,170,114,72,117,10,4,582,141,132,58,42,49,6,6,433,0,3,0,0,0,0,0,4,231,303,173,120,167,18,7,1020
UCL113006,30,66,53,36,48,3,0,233,6,4,0,4,0,0,0,15,3,3,3,0,0,0,0,7,64,126,102,73,105,10,3,485,3,22,4,4,4,0,0,43,19,25,6,5,4,0,0,63,26,49,15,13,7,0,0,111,92,171,114,82,116,12,3,597,209,177,97,63,39,6,3,603,0,0,3,3,0,0,0,7,299,351,213,148,159,18,9,1203
UCL113007,46,62,46,29,28,3,0,210,5,0,0,0,0,0,0,5,3,0,5,0,3,0,0,10,77,135,89,58,78,15,3,461,11,12,4,0,4,0,0,28,7,12,0,0,0,0,0,25,21,20,4,0,4,0,0,53,95,155,99,64,79,12,3,510,119,67,41,25,16,7,0,274,0,8,6,4,0,0,0,21,221,229,145,87,96,16,5,810
UCL113008,50,74,48,30,41,3,3,245,3,5,0,3,0,0,0,12,3,9,3,0,0,0,0,16,78,129,82,56,69,10,3,422,7,5,4,8,10,0,0,38,7,17,10,7,4,0,0,37,20,20,16,10,13,0,0,78,92,147,96,67,80,9,3,503,200,159,84,49,40,4,0,544,6,3,3,0,3,0,0,22,302,313,182,118,125,17,3,1066
UCL113009,18,36,47,22,20,11,4,166,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,22,61,70,46,63,25,12,302,3,3,0,4,3,0,0,18,3,3,0,0,0,0,0,9,4,8,4,4,3,0,0,21,31,65,72,44,67,28,12,322,29,24,19,5,9,5,4,100,0,0,0,0,0,0,0,0,64,91,88,51,79,37,18,425
UCL113010,46,74,54,38,43,16,3,271,4,4,3,0,7,0,0,19,0,0,0,3,0,0,0,11,86,132,101,62,90,16,4,482,4,30,20,10,14,0,0,79,18,20,10,5,3,0,0,59,27,47,30,17,19,0,0,141,110,180,130,74,105,17,4,620,184,164,76,59,51,10,0,550,4,5,0,0,0,0,0,16,296,351,210,138,160,23,4,1181
UCL113011,25,45,42,22,39,5,0,181,3,3,0,0,4,0,0,9,0,3,0,0,0,0,0,7,32,81,60,40,80,10,3,308,0,9,5,7,9,3,0,35,6,16,9,0,3,0,0,36,10,28,13,11,11,4,0,70,41,110,69,49,85,18,3,372,134,96,37,21,22,3,0,314,3,0,0,0,0,0,0,8,178,205,106,71,108,18,4,692
UCL113012,51,72,45,26,42,9,8,243,7,3,3,3,3,0,0,19,0,3,3,0,3,0,3,10,69,129,93,58,102,26,16,497,0,14,10,6,3,0,0,39,12,13,3,6,4,0,0,40,18,26,19,11,6,0,0,80,87,151,109,72,109,33,20,580,110,102,48,22,30,11,4,318,0,0,3,3,3,0,0,10,197,260,156,90,143,40,24,910
UCL113013,29,56,36,22,26,5,0,170,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,50,75,62,43,67,8,0,301,0,0,8,7,0,0,0,14,11,8,4,4,0,0,0,20,7,8,9,5,0,0,0,31,56,82,65,50,66,8,0,333,88,71,27,17,14,0,0,217,4,0,0,0,0,0,0,3,149,156,94,66,83,6,0,553
UCL113014,22,41,20,17,17,0,0,119,3,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,33,83,54,48,60,12,3,283,9,18,17,7,6,0,0,62,5,8,12,6,5,0,0,35,15,32,24,12,12,0,0,95,52,114,73,59,67,12,3,378,151,104,49,30,24,0,0,364,7,5,3,0,0,0,0,11,206,224,128,93,93,13,3,753
UCL113015,13,73,49,29,39,3,0,213,3,0,3,0,6,0,0,14,0,4,0,0,3,0,0,7,27,122,82,67,84,15,3,397,0,0,8,7,7,3,0,17,0,0,3,3,3,0,0,11,0,3,11,8,4,3,0,34,32,124,89,70,88,21,3,429,64,55,32,15,20,0,0,187,0,0,3,0,0,0,0,5,93,184,123,90,105,21,3,614
UCL113016,54,73,44,38,33,12,0,255,5,3,3,4,0,0,0,18,0,0,0,0,0,0,0,3,82,125,75,61,62,22,6,427,6,13,9,8,12,3,0,45,11,17,0,8,6,0,0,39,15,31,10,15,16,3,0,91,92,157,85,70,80,19,9,512,196,161,73,38,48,5,3,529,0,4,0,0,0,0,0,6,289,328,156,116,124,30,8,1052
UCL113017,36,65,38,24,32,8,0,202,7,14,0,3,0,0,0,29,0,0,0,0,0,0,0,0,57,101,53,51,75,25,4,368,3,15,3,10,3,6,0,34,10,21,9,4,7,0,0,44,17,33,10,14,11,6,0,82,70,133,68,59,81,25,4,446,102,102,42,28,19,4,0,298,0,0,0,0,0,0,0,3,171,232,110,90,103,31,5,750
UCL113018,26,55,48,29,29,3,0,189,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,29,77,70,52,65,3,0,294,0,3,3,12,3,3,0,22,9,8,0,3,3,0,0,30,9,12,6,13,10,6,0,52,43,85,76,64,71,12,0,346,70,75,54,22,26,3,3,255,0,5,8,0,3,0,0,12,113,168,132,82,95,10,3,610
UCL113019,44,89,54,34,51,8,0,287,4,3,3,0,0,0,0,9,0,0,3,0,4,0,0,8,66,144,101,71,93,21,3,503,7,16,17,5,13,4,0,66,14,34,13,7,11,0,0,79,19,42,32,16,23,3,0,143,91,185,136,85,118,25,3,646,231,216,103,79,69,12,7,717,6,15,4,3,0,0,0,33,329,414,250,162,192,34,10,1396
UCL113020,21,55,47,23,37,5,0,186,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,3,36,79,76,37,68,4,3,302,0,8,8,6,10,0,0,23,3,10,0,5,0,0,0,21,3,19,9,8,12,0,0,52,38,100,84,51,76,9,3,355,63,65,32,31,27,4,0,214,0,4,0,0,0,0,0,6,96,165,118,73,106,9,3,574
UCL114001,13,22,18,10,15,0,0,79,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,18,32,38,34,49,7,0,179,0,0,0,4,0,0,0,4,0,6,3,5,3,0,0,16,0,5,3,4,7,0,0,21,18,44,38,38,55,7,0,199,15,15,15,0,3,0,0,51,0,0,0,0,0,0,0,0,34,55,52,42,60,11,0,254
