UCL_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL101001,4749,61522,2591,14993,7239,2645,392,1484,683,96300,6633,49821,599,9077,5894,1954,252,982,523,75735,39231,56040,3046,15088,74934,21448,1805,6235,2958,220793,12923,42574,1983,29196,20797,6091,689,2872,1582,118702,6389,20102,2180,3528,6879,4876,286,905,541,45681,3502,1405,8571,6912,6153,4054,442,2045,433,33523,83,100,55,209,167,154,19,159,41,990,1532,2962,364,1228,2309,1031,164,411,285,10274,1045,1910,497,1898,2615,1490,286,1084,2433,13266,86044,267783,26982,87108,139509,48936,5425,19256,10532,691567,8621,23102,4629,3133,6091,2909,1230,1781,694,52181,13844,40903,8444,2630,7461,3967,3002,2939,1448,84635,29187,44379,63337,5303,12178,7912,15908,12955,2794,193956,14071,12007,35413,1542,3655,2266,3162,6113,976,79218,2273,2749,4981,883,1555,913,1024,2159,234,16766,7499,86914,3911,19373,8311,3502,1289,2434,1063,134289,9554,63386,1450,10637,6773,2567,1044,1627,709,97743,92373,116412,11141,22757,99479,40476,11372,14485,6194,414692,24606,72895,4766,41514,27209,9356,3396,5674,2748,192162,10489,35302,5980,5349,9036,7308,1526,2430,930,78348
UCL102001,47,409,30,147,85,17,0,14,14,769,64,380,4,123,57,5,3,4,5,639,374,348,26,134,764,148,8,42,21,1861,163,365,14,343,254,47,0,23,22,1233,48,93,16,19,73,23,0,0,0,276,41,13,113,67,114,49,0,29,7,439,0,0,0,0,3,3,0,3,0,8,19,15,0,12,28,8,0,5,0,91,6,16,4,18,36,13,0,8,18,132,870,1823,264,917,1553,351,21,144,107,6046,100,179,27,41,62,14,3,9,10,458,121,275,65,30,71,35,9,20,13,653,256,261,773,64,124,65,144,145,22,1859,135,38,465,18,42,22,59,89,11,885,29,41,73,14,41,10,7,19,3,235,77,510,36,191,96,22,8,15,14,969,91,485,14,144,63,12,0,9,7,823,730,603,76,190,974,252,44,69,49,2990,372,570,36,526,356,65,19,41,42,2028,71,161,45,37,95,44,8,7,0,470
UCL102002,317,4603,287,1872,552,266,32,164,55,8146,428,3717,44,820,369,134,17,45,32,5615,1579,1568,192,830,4845,1364,82,398,118,10972,493,1791,164,3143,1095,449,48,276,96,7552,176,583,124,172,292,208,12,54,19,1643,282,114,941,781,518,431,21,241,24,3354,3,5,0,8,11,3,4,7,0,48,49,96,22,50,71,26,5,18,16,352,59,112,61,197,199,170,14,112,140,1069,3670,13295,2208,8063,8378,3262,319,1506,546,41243,250,676,233,122,142,80,32,69,18,1627,326,894,289,57,228,96,54,106,31,2083,1603,1513,5680,471,663,556,1285,1189,196,13154,1125,356,4329,168,207,167,380,833,99,7678,178,222,747,96,121,111,154,369,27,2024,491,6068,387,2297,601,312,89,232,82,10556,647,5011,114,958,425,168,73,100,52,7551,3487,3054,537,1166,5663,2186,432,741,213,17480,839,2596,308,4380,1306,613,167,427,141,10775,309,1080,342,244,359,307,65,144,34,2882
UCL102003,49,860,66,424,111,57,8,28,14,1616,79,707,14,180,79,33,4,16,3,1108,261,229,39,199,695,252,12,81,20,1778,91,291,13,590,180,74,9,65,13,1323,33,91,15,27,55,29,3,16,3,280,51,24,190,166,106,81,8,61,7,697,0,0,0,0,3,0,0,0,0,12,6,15,3,9,11,8,0,8,3,67,8,17,5,35,37,31,0,19,17,182,617,2331,418,1670,1345,611,50,328,88,7465,20,85,37,23,23,7,3,12,5,227,37,73,33,14,20,23,9,21,0,234,230,192,892,87,85,89,199,241,34,2043,211,81,807,43,58,43,76,168,21,1497,27,35,103,22,20,22,23,75,4,330,77,1162,85,542,120,69,25,37,21,2143,124,953,30,207,89,42,18,22,12,1492,526,443,89,254,799,403,54,145,25,2742,152,422,40,785,218,94,36,104,21,1878,52,151,45,43,61,52,13,37,4,458
UCL102004,374,7072,304,1965,632,235,34,125,60,10797,498,4520,44,882,501,140,10,53,40,6680,1705,2193,209,922,5672,1276,72,371,112,12530,540,2557,152,2944,1233,407,41,216,98,8175,219,813,118,256,384,270,15,52,12,2140,259,119,1051,636,488,396,32,208,31,3221,0,6,0,5,4,7,0,3,0,34,59,148,25,66,113,29,13,25,15,492,52,137,42,168,178,107,6,112,127,931,4028,18922,2470,8118,9785,3093,306,1373,500,48596,285,1359,375,195,255,106,45,87,15,2715,296,899,326,79,216,100,43,99,13,2076,2071,3452,7822,624,847,556,1850,1278,248,18743,1046,595,3555,194,265,187,510,741,65,7160,194,408,403,105,155,96,123,275,14,1779,601,9718,448,2415,696,303,102,194,81,14557,782,6153,153,1045,593,188,105,108,53,9174,3873,4260,611,1250,6600,2055,449,671,202,19973,935,3855,298,4038,1506,527,189,351,148,11835,347,1321,313,365,469,383,73,156,22,3450
UCL102005,226,3816,263,1480,431,155,21,78,50,6520,364,3640,40,731,348,100,7,31,29,5287,1379,1580,144,735,4467,1097,49,290,105,9853,470,1830,141,2894,984,361,30,200,66,6971,167,562,87,151,279,169,4,51,10,1486,212,81,782,582,406,295,19,185,22,2601,3,7,0,13,4,7,0,8,4,46,34,88,17,46,97,20,0,8,7,327,37,96,45,152,130,125,12,107,111,809,3178,12678,1875,7007,7585,2517,198,1151,437,36625,242,1055,220,164,188,93,30,79,35,2101,319,931,262,71,204,107,41,86,31,2062,1674,2212,6521,431,590,494,1924,1209,208,15263,679,264,3035,123,160,131,509,707,63,5679,108,175,450,70,86,57,127,199,18,1282,366,5188,358,1834,482,187,68,142,62,8691,556,4861,97,862,396,134,50,76,40,7069,2953,2887,404,1005,5181,1682,336,544,195,15182,762,2685,261,4028,1194,461,138,349,108,9982,284,980,237,244,351,270,42,124,17,2548
UCL111001,54,849,44,303,118,44,0,20,6,1434,79,699,11,148,69,24,0,14,4,1049,261,296,41,151,793,193,18,74,16,1842,67,250,14,547,176,66,11,60,9,1201,14,105,9,24,38,22,0,3,0,222,51,14,191,127,77,94,3,57,3,617,0,0,0,6,8,0,0,3,0,10,12,14,3,10,11,6,0,3,0,57,9,11,5,23,16,20,3,35,18,139,601,2365,369,1390,1383,518,55,307,59,7046,53,120,24,21,24,10,10,13,3,284,34,91,43,6,37,21,13,24,3,279,264,211,1043,62,102,78,276,201,30,2268,153,42,597,31,31,29,70,115,11,1076,51,73,96,26,35,28,34,53,4,401,78,1125,58,361,120,60,13,29,9,1847,124,951,27,169,75,30,13,16,7,1419,574,593,103,205,917,325,100,125,39,2971,113,384,28,717,207,91,40,94,14,1687,27,157,33,37,40,37,15,18,3,369
UCL111002,55,1097,102,492,142,63,16,49,10,2028,102,966,8,198,78,22,3,3,4,1391,385,414,52,232,1485,352,33,111,21,3080,90,390,32,797,223,103,15,72,12,1736,23,94,17,32,57,33,7,15,0,272,61,21,294,200,119,121,18,87,9,917,0,0,0,3,3,3,0,5,0,12,3,13,10,7,23,5,0,3,3,66,14,25,16,45,31,26,7,25,30,221,802,3239,645,2063,2257,808,126,442,94,10485,68,188,79,33,32,14,12,25,5,455,53,124,54,18,39,29,10,25,11,372,480,586,2800,108,193,150,755,350,89,5512,152,64,677,32,34,43,163,144,20,1329,52,60,102,28,29,19,38,71,4,408,91,1369,141,582,157,71,45,66,19,2538,171,1224,29,225,89,31,45,23,4,1851,798,714,155,293,1652,512,168,199,42,4537,140,546,64,1044,265,132,56,95,17,2367,29,144,48,47,68,52,18,23,3,441
UCL112001,20,287,13,113,37,11,0,16,4,507,40,352,3,65,36,11,0,11,0,519,69,107,8,36,278,69,0,30,0,605,53,223,20,179,75,34,0,21,8,606,5,46,3,13,24,14,0,8,0,107,6,10,44,38,25,19,0,20,0,163,0,0,0,5,0,0,0,0,0,3,3,3,3,3,4,0,0,0,0,18,3,17,0,4,3,3,0,17,5,55,214,1154,124,478,538,179,4,143,28,2851,25,185,34,27,30,7,0,21,6,327,12,54,21,3,12,11,0,13,0,124,52,45,199,16,30,19,57,47,8,480,50,22,143,8,4,11,14,26,8,288,38,92,49,18,27,23,3,52,0,305,23,376,19,151,42,17,3,31,5,665,62,460,16,73,41,9,3,20,0,688,148,195,45,61,329,111,19,57,4,968,97,417,39,281,98,50,3,43,9,1031,13,82,14,20,40,16,0,10,3,186
UCL112002,33,474,40,210,55,39,0,23,3,882,63,577,5,108,52,28,0,5,3,844,151,214,27,95,559,149,8,60,15,1277,63,231,15,360,103,42,5,39,13,873,26,61,5,34,40,13,5,5,4,191,32,4,117,74,40,33,3,27,3,337,0,0,0,0,3,3,0,3,0,12,6,3,4,11,9,0,0,3,3,45,0,8,3,20,15,11,0,23,9,98,403,1673,260,941,914,356,30,215,54,4850,21,81,18,13,11,10,9,4,0,173,24,87,27,6,24,17,3,12,0,205,163,157,760,75,47,51,185,181,14,1635,108,34,353,32,18,18,57,86,4,703,43,51,48,26,14,27,28,44,4,280,56,614,44,282,69,51,10,29,3,1168,107,756,12,131,60,35,10,15,3,1124,358,354,67,139,635,224,47,104,23,1950,86,346,32,537,115,53,17,58,18,1260,43,98,21,37,42,32,11,12,6,303
