UCL_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
UCL101001,336,816,34,30,98,41,18,18,13,1404,1980,11735,223,156,347,102,83,79,130,14842,24112,51755,4222,2695,8530,4482,2428,2227,1526,101965,807,1802,113,96,276,154,96,78,74,3491,3023,7456,555,546,1014,375,270,241,142,13621,950,1439,162,189,336,99,62,41,62,3329,53360,125351,17168,12187,21381,14255,8846,9871,4168,266586,132,130,168,93,61,86,71,80,26,832,10796,11233,8224,4234,3861,3611,3303,2722,765,48757,11991,11328,11271,6235,5673,4973,3964,3910,999,60347,24734,10077,93652,9481,10682,9376,18685,16726,3527,196949,948,680,964,773,739,763,1020,1044,104,7037,2988,2343,2473,1805,1757,2019,2512,2137,342,18376,1946,3101,1650,689,843,830,1109,1063,299,11534,2073,2429,2859,1062,1060,1144,2375,2431,2532,17961,140171,241689,143730,40257,56659,42314,44845,42664,14700,767040,263,1156,13,52,193,41,0,5,16,1735,1095,8652,133,164,419,73,9,33,85,10665,14840,52972,1463,4405,12664,3978,279,1087,1151,92835,535,1942,39,155,438,112,3,36,53,3310
UCL102001,0,5,0,0,0,0,0,0,0,6,30,82,3,0,4,3,0,0,0,128,258,251,14,33,71,22,14,6,22,696,5,12,0,0,5,0,0,0,0,21,48,67,3,6,17,0,0,0,4,149,19,25,3,7,9,0,0,0,5,67,317,592,76,88,137,66,32,51,19,1383,3,0,0,0,0,0,0,3,0,11,97,88,55,51,49,27,16,15,3,397,123,118,123,89,76,37,25,29,9,633,309,115,1303,187,181,113,213,225,46,2692,5,11,15,19,8,9,7,13,0,90,23,26,11,16,18,8,9,15,0,132,11,15,6,3,3,7,6,8,0,63,13,3,18,8,14,6,21,31,20,136,1261,1402,1638,503,612,298,345,399,135,6587,0,3,0,0,0,0,0,0,0,5,13,34,0,0,11,0,0,3,0,59,128,257,4,38,62,11,0,7,11,521,3,18,0,3,3,0,0,0,0,31
UCL102002,3,34,0,0,0,0,0,0,0,45,38,279,8,3,11,3,0,0,9,345,452,966,62,56,100,40,11,23,28,1734,16,32,0,3,6,8,0,0,0,65,82,352,25,35,33,11,4,7,3,542,61,82,9,14,20,3,3,4,0,195,1299,4144,456,532,430,308,121,220,93,7601,6,8,8,4,3,4,0,3,0,44,593,664,388,373,220,159,105,109,37,2648,786,738,618,532,319,278,150,187,57,3681,2636,1021,11009,1274,969,1066,2052,2377,371,22773,81,58,89,76,46,79,89,150,9,677,167,129,171,189,86,147,175,191,18,1272,74,103,69,35,21,28,47,66,9,452,148,102,257,110,60,100,189,282,156,1413,6441,8719,13168,3244,2316,2243,2948,3627,791,43488,13,60,0,3,4,0,0,0,0,77,17,200,5,4,13,3,0,0,6,245,266,1319,38,78,159,35,3,11,26,1928,11,69,0,3,6,0,0,0,0,88
UCL102003,3,5,0,0,0,0,0,0,0,5,0,45,0,0,0,0,0,0,0,55,59,150,9,4,10,3,5,4,5,246,0,8,0,0,0,0,0,0,0,8,20,68,9,8,4,3,0,3,0,106,8,21,3,3,0,3,0,0,0,35,230,692,76,96,84,73,26,48,13,1332,3,0,3,3,0,0,0,0,0,13,78,91,83,70,18,23,13,20,6,397,107,103,114,136,43,57,26,46,10,649,425,130,1907,239,154,183,327,481,65,3904,10,3,15,6,3,15,12,31,0,100,22,16,29,39,10,24,35,49,0,217,10,14,23,5,10,4,4,11,0,73,31,15,42,20,17,13,32,44,28,243,1010,1350,2307,620,351,401,478,740,136,7394,6,9,0,0,3,0,0,0,0,21,4,43,0,0,0,0,0,0,0,49,41,217,3,8,18,8,0,8,0,310,3,17,0,0,3,0,0,0,0,27
UCL102004,12,48,3,4,5,0,0,0,0,73,94,956,6,11,20,3,3,3,4,1100,754,1582,83,55,174,64,23,47,14,2793,30,80,4,0,4,0,0,0,0,126,133,500,38,37,36,7,12,10,7,776,78,149,12,26,20,4,3,4,6,303,1970,7215,700,648,669,345,194,263,112,12123,0,17,5,4,3,3,0,3,0,45,579,827,542,319,214,130,129,110,44,2899,790,931,848,525,369,225,208,182,45,4108,2375,1016,11519,1299,1067,1062,2678,2234,379,23625,50,47,83,93,56,79,99,140,5,654,164,116,195,141,82,126,174,171,20,1190,62,130,59,36,20,32,42,61,10,454,77,127,199,86,49,77,158,172,126,1083,7173,13728,14311,3295,2785,2155,3713,3411,769,51342,10,79,0,10,5,0,0,0,0,99,54,672,7,9,17,3,0,0,9,775,439,2199,50,135,251,55,8,27,26,3188,25,103,0,7,11,3,0,0,3,156
UCL102005,8,31,0,3,0,0,0,0,0,47,65,745,14,11,7,6,4,7,3,861,583,1205,95,80,132,72,37,58,35,2296,18,42,0,3,6,3,0,0,0,72,90,467,28,38,29,4,7,4,3,679,53,73,10,11,11,4,3,4,3,173,1339,4327,489,555,510,336,179,276,97,8106,3,5,14,6,4,8,3,8,0,44,403,507,425,318,127,110,93,113,38,2121,646,616,830,533,283,188,206,192,51,3542,1854,658,9591,977,720,727,2516,1891,288,19223,41,39,68,73,42,70,102,120,8,554,130,91,117,147,80,90,180,156,22,1008,49,90,61,44,20,18,59,63,13,423,77,87,196,65,39,74,186,188,134,1045,5366,8994,11932,2858,2010,1710,3564,3079,693,40208,6,70,0,3,0,0,0,0,0,85,49,475,6,10,11,0,0,4,4,560,396,1761,29,127,219,57,0,22,15,2627,8,81,0,3,0,3,0,0,0,100
UCL111001,3,3,0,0,0,0,0,0,0,9,3,64,0,0,5,0,0,0,0,76,61,153,3,10,22,8,6,11,0,275,6,15,0,0,0,0,0,0,0,23,27,103,7,14,8,3,0,0,0,154,7,19,0,3,4,0,0,0,0,35,263,689,76,85,77,38,45,36,17,1328,0,0,0,0,0,0,0,0,0,3,88,88,66,46,21,27,24,21,7,377,105,105,102,76,35,31,43,41,10,543,419,157,1783,196,151,172,406,349,54,3689,10,10,18,14,12,14,30,29,4,136,23,13,25,18,11,29,40,34,0,185,11,21,4,8,0,10,7,3,4,70,14,22,34,14,4,14,34,35,15,185,1042,1459,2119,472,339,345,638,558,111,7089,0,13,0,0,0,0,0,0,0,17,5,61,0,0,3,0,0,0,0,74,54,228,3,23,18,8,3,5,3,347,3,16,0,0,0,0,0,0,0,22
UCL111002,0,6,0,0,0,0,0,0,0,8,11,51,0,0,0,0,0,0,0,67,110,197,18,12,20,14,7,3,5,384,0,14,0,0,0,0,0,0,0,20,34,66,8,3,8,0,3,3,3,129,7,12,3,5,0,0,0,3,0,35,284,897,112,73,69,57,42,46,13,1593,0,0,0,3,0,0,0,0,0,7,135,144,146,79,36,32,37,25,4,639,179,177,237,113,83,42,66,32,21,951,564,234,3514,312,234,259,1089,580,131,6916,13,7,29,18,10,23,43,40,0,185,39,28,42,18,21,23,53,40,4,253,9,11,17,7,10,3,15,17,0,83,21,18,50,16,6,15,58,50,31,263,1413,1869,4166,663,493,470,1402,833,214,11532,3,15,0,0,0,0,0,0,0,14,7,53,0,3,3,0,0,0,0,61,57,304,7,16,34,3,0,5,3,428,3,21,0,0,0,0,0,0,0,22
UCL112001,0,0,0,0,0,0,0,0,0,0,13,239,4,0,4,0,0,0,0,265,35,96,9,11,9,9,0,32,0,201,0,6,0,3,3,0,0,0,0,17,12,38,0,3,5,0,0,0,0,69,3,10,3,0,0,0,0,0,0,19,81,313,46,75,41,25,5,49,5,633,0,0,0,0,0,0,0,0,0,0,26,33,17,17,16,4,5,4,0,120,29,26,27,23,12,9,4,11,3,143,128,40,435,71,46,74,75,98,18,987,3,4,12,8,3,6,11,14,0,58,9,3,11,12,5,8,12,16,0,68,3,10,0,8,4,3,3,3,0,33,10,7,9,10,4,5,9,15,8,73,357,815,578,243,146,140,124,247,33,2687,0,3,0,0,0,0,0,0,0,3,11,159,0,4,4,0,0,0,0,184,16,172,6,12,19,3,0,11,4,242,3,5,0,0,0,0,0,0,0,13
UCL112002,0,4,0,0,0,0,0,0,0,4,3,53,0,0,3,0,0,0,0,62,44,123,3,4,14,0,0,6,0,198,0,5,0,0,0,0,0,0,0,4,9,53,3,7,0,0,0,0,0,78,16,16,3,4,0,0,0,0,0,38,169,464,63,80,35,31,18,40,9,907,0,0,0,0,0,0,0,0,0,0,45,51,30,53,7,15,6,8,3,226,78,59,71,69,26,24,19,22,5,372,283,90,1165,218,97,116,299,303,32,2609,9,4,16,14,8,10,18,21,0,96,21,5,16,8,6,19,14,26,4,116,4,9,8,3,0,6,6,9,0,43,16,3,30,5,3,8,19,31,13,122,698,943,1398,477,208,227,407,459,68,4887,0,9,0,0,0,0,0,0,0,9,8,51,0,0,3,0,0,0,3,68,28,169,6,18,12,0,0,0,3,240,0,12,0,3,0,0,0,0,0,18
