UCL_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
UCL101001,2838,12779,245,1910,2466,493,31,159,186,21097,949,3323,50,218,589,103,3,26,41,5299,37568,145977,6706,22892,43558,16484,1331,6041,3520,284084,133,179,41,333,243,115,19,52,30,1137,6903,13598,1954,7669,13805,4359,465,1604,642,51000,8623,11546,3505,17315,19741,6914,583,2241,960,71423,6681,7119,10291,21927,23433,8590,1505,3794,1218,84557,941,791,475,1701,4595,1816,288,869,135,11617,2274,2140,943,4562,9782,2924,415,1295,340,24677,1147,2710,470,1287,3600,1114,162,644,257,11386,1253,2890,656,2515,3997,1827,324,1372,1910,16730,86044,267783,26982,87108,139509,48936,5425,19256,10532,691567,601,1968,46,80,291,79,20,23,32,3146,3081,20392,362,319,764,176,100,110,214,25509,38952,104729,5683,7103,21193,8456,2706,3314,2674,194802,1343,3740,147,251,707,268,103,116,120,6804,5858,20232,796,2458,3479,870,300,400,323,34718,1897,4763,214,405,926,201,62,70,96,8631,90924,271331,23873,35076,64934,30738,10180,15915,7688,550668,262,311,205,424,305,202,85,128,57,1970
UCL102001,30,149,5,46,37,3,0,0,0,273,35,43,0,4,23,3,0,0,0,106,284,909,45,186,323,73,6,34,28,1882,3,4,0,5,3,0,0,0,0,11,81,93,15,81,133,22,0,11,6,449,115,140,31,172,264,56,0,9,13,805,104,102,150,284,455,123,7,43,16,1288,8,15,3,26,77,24,0,11,7,181,31,18,3,40,98,18,0,15,3,233,9,10,0,9,28,5,0,0,3,67,10,18,6,31,37,12,0,15,21,144,870,1823,264,917,1553,351,21,144,107,6046,3,9,0,0,0,0,0,0,0,9,45,121,3,3,15,0,0,3,0,189,388,513,27,71,135,27,14,12,35,1215,7,31,0,3,6,0,0,0,0,53,82,215,12,51,54,3,0,0,3,416,52,68,3,13,34,0,0,0,7,171,598,1499,118,270,463,139,34,85,50,3257,7,7,0,5,4,0,0,3,0,21
UCL102002,92,697,13,144,109,11,4,8,11,1097,42,259,0,21,36,3,0,0,4,362,1092,7064,210,890,1211,413,32,160,99,11172,12,24,4,32,16,11,0,6,0,110,393,1011,125,681,750,232,22,87,30,3321,587,940,257,1771,1390,455,40,151,59,5651,780,1095,1329,3351,2970,1265,146,637,122,11698,103,73,50,223,412,292,20,133,13,1315,138,177,86,509,746,271,28,131,23,2105,46,117,30,81,218,64,7,40,15,617,84,198,66,270,324,198,26,145,130,1441,3670,13295,2208,8063,8378,3262,319,1506,546,41243,17,92,0,5,6,0,0,0,0,121,61,480,12,8,20,9,0,0,9,596,720,2287,96,138,263,76,15,30,46,3670,24,103,0,5,12,8,0,0,0,155,172,1045,38,178,139,24,5,16,18,1642,102,337,15,33,55,4,3,4,4,554,2390,11210,668,1423,1638,717,150,376,195,18769,16,36,13,41,21,19,3,5,0,156
UCL102003,23,142,3,36,19,8,0,0,0,234,7,49,0,0,7,0,0,0,0,75,178,1307,43,205,195,70,13,38,10,2065,0,3,0,7,0,0,0,0,0,16,66,177,23,138,130,43,4,20,5,613,108,134,43,369,238,83,6,38,11,1040,117,136,252,642,491,231,19,123,16,2034,17,8,7,44,46,42,0,29,0,202,23,24,20,124,120,61,3,27,8,407,4,24,0,14,23,19,0,13,0,103,15,44,10,65,48,34,3,28,21,282,617,2331,418,1670,1345,611,50,328,88,7465,4,13,0,0,3,0,0,0,0,27,6,90,0,0,0,0,0,0,0,107,96,369,16,17,32,17,5,12,3,555,3,23,0,0,3,0,0,0,0,37,41,203,10,44,21,12,0,3,0,341,20,68,3,3,7,3,0,3,0,111,408,1994,118,305,270,143,34,86,30,3398,3,8,0,9,0,0,0,3,0,30
UCL102004,130,964,12,134,145,27,3,5,14,1431,73,384,0,27,67,5,0,3,3,561,1336,10923,280,1323,1846,562,34,168,126,16598,4,12,3,34,25,9,0,0,0,85,401,1157,124,639,907,213,17,63,29,3543,511,969,297,1625,1471,419,23,147,40,5498,730,893,1490,3210,3242,1111,153,548,109,11485,80,59,47,227,469,250,26,122,5,1280,136,153,94,395,830,250,37,138,14,2047,40,137,27,97,203,49,12,27,12,600,70,213,38,249,301,143,11,125,108,1253,4028,18922,2470,8118,9785,3093,306,1373,500,48596,23,120,3,7,10,0,0,3,0,175,143,1626,17,19,35,8,3,3,12,1872,1186,3787,133,193,422,122,25,69,41,5984,61,184,4,12,17,5,3,0,3,281,262,1463,51,174,177,29,9,21,20,2207,151,534,15,50,83,11,3,7,7,864,3309,18143,986,1975,2514,908,227,428,240,28717,7,29,11,34,28,14,0,6,0,128
UCL102005,107,932,16,136,118,24,0,4,7,1336,40,249,3,6,25,3,0,0,0,334,994,6491,230,976,1302,371,17,124,113,10610,9,15,4,36,18,7,3,0,0,83,303,749,72,593,657,174,15,63,25,2650,442,730,207,1561,1213,291,22,114,53,4631,521,714,1139,2683,2496,929,89,455,93,9118,77,61,38,182,417,187,17,96,3,1087,154,110,60,433,697,236,19,126,27,1862,33,93,22,56,177,58,3,27,5,472,55,158,57,196,223,167,14,119,88,1074,3178,12678,1875,7007,7585,2517,198,1151,437,36625,19,103,3,4,4,0,0,0,0,130,116,1224,21,17,23,6,4,6,4,1421,980,2968,125,205,348,136,37,76,53,4922,28,125,0,8,3,7,0,0,0,172,195,1399,41,178,146,34,7,9,12,2016,89,326,8,21,39,10,3,5,9,512,2333,10815,719,1531,1807,710,198,402,211,18722,10,22,11,39,19,13,3,4,0,129
UCL111001,24,190,3,32,31,0,0,3,0,285,7,60,0,0,10,0,0,0,0,78,185,1332,32,196,226,66,3,30,7,2089,0,0,3,14,0,3,0,0,0,22,45,149,15,102,108,33,3,15,0,464,97,150,41,275,213,69,7,36,12,885,126,109,231,568,514,226,30,122,17,1937,14,5,15,39,84,30,7,23,3,221,25,24,10,89,111,45,4,20,0,318,0,16,8,19,25,4,4,10,4,78,11,32,10,28,37,29,3,37,16,207,601,2365,369,1390,1383,518,55,307,59,7046,3,20,0,0,0,0,0,0,0,21,12,123,4,3,6,0,0,0,0,147,120,383,5,34,44,16,7,18,0,627,8,30,0,0,0,0,0,0,0,39,47,289,12,49,41,5,0,4,0,442,20,71,0,5,10,0,0,0,0,111,448,2025,114,279,304,107,44,69,27,3418,0,4,3,14,0,3,0,3,0,25
UCL111002,24,202,0,45,17,3,0,0,0,291,14,56,0,3,10,0,0,0,0,75,218,1810,56,193,244,73,10,37,11,2646,0,3,0,10,5,0,3,0,0,29,86,231,23,147,170,41,3,26,11,734,112,222,79,446,374,109,11,38,9,1405,190,214,425,931,975,374,74,207,34,3427,34,13,17,61,141,87,7,50,0,412,31,31,18,121,188,56,11,30,4,491,9,36,5,26,46,13,3,17,0,149,22,40,17,74,48,35,7,37,24,311,802,3239,645,2063,2257,808,126,442,94,10485,3,14,0,0,0,0,0,0,0,23,17,104,0,3,3,0,0,0,0,132,164,493,22,25,56,20,9,9,11,809,0,32,0,0,0,0,0,0,0,39,58,265,9,47,20,5,3,5,3,421,18,66,3,10,10,0,0,3,0,115,499,2711,174,266,309,136,44,78,19,4238,3,3,0,14,5,0,3,0,0,36
UCL112001,13,92,3,19,13,3,0,0,0,150,4,23,0,4,3,0,0,0,0,45,71,520,32,113,136,33,0,24,10,933,0,3,0,0,0,0,0,0,0,5,15,54,10,39,50,10,0,3,3,172,28,46,9,84,76,21,0,14,3,285,24,44,56,157,158,71,0,45,3,552,4,7,6,18,18,11,0,10,0,77,9,5,8,19,40,16,0,11,3,107,0,9,0,3,4,3,0,7,0,30,7,10,3,9,14,3,0,17,4,66,214,1154,124,478,538,179,4,143,28,2851,0,6,0,0,0,0,0,0,0,9,26,394,3,6,11,0,0,4,0,447,54,268,12,24,25,9,0,39,5,443,6,17,0,3,3,0,0,0,0,28,29,132,3,22,22,4,0,0,0,212,4,33,7,9,3,0,0,0,0,56,148,833,78,189,176,51,12,70,13,1569,0,3,0,0,0,0,0,0,0,8
UCL112002,14,114,0,13,13,3,0,3,0,164,9,47,5,4,3,0,0,0,0,64,149,932,30,162,176,46,3,24,10,1531,0,0,0,0,0,0,0,0,0,6,28,95,10,69,81,22,0,5,4,319,50,102,24,190,98,41,3,23,7,541,81,87,145,375,324,139,17,80,12,1260,13,13,12,26,69,35,3,16,0,184,11,12,16,33,93,39,4,24,3,238,6,18,0,12,11,9,0,6,3,71,7,22,11,27,30,20,0,25,8,137,403,1673,260,941,914,356,30,215,54,4850,0,11,0,0,0,0,0,0,0,11,13,109,0,0,3,0,0,0,4,133,76,290,6,24,26,4,0,6,3,429,3,19,0,3,0,0,0,0,0,21,27,167,0,22,16,3,0,3,0,240,23,62,5,7,8,0,0,0,0,103,319,1391,95,247,205,79,22,66,18,2433,0,0,0,0,0,0,0,0,0,6
