UCL_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL101001,231,51,690,337,790,110,2204,394,58,713,221,592,63,2036,5290,727,13555,7716,22483,1850,51627,1456,188,2323,1297,3226,205,8684,3749,597,14937,10354,60608,3447,93698,4717,622,10949,4819,8501,1082,30687,5700,754,16086,8016,14463,2000,47033,2964,413,11499,9111,10604,1722,36307,4511,773,11534,8530,17154,2370,44881,5174,941,12879,4342,4070,842,28248,14206,2807,30482,8034,4860,1534,61920,2171,425,5557,3336,4440,642,16573,24624,3886,54606,11147,7818,2566,104640,2456,431,7865,3918,6812,1039,22514,7509,2124,14642,9437,12705,1249,47674,14416,2597,16541,3311,3867,868,41602,10860,1830,21367,5661,6131,1550,47397,1234,297,4456,2065,3231,436,11716,2188,392,5145,3138,17318,838,29018,4368,542,10769,5139,12687,5078,38582,118214,20441,266586,109939,222363,29498,767040,145,35,424,240,331,87,1261,173,35,286,85,86,30,681,2754,507,8679,4466,4944,1134,22481,497,113,1096,421,477,85,2684,1563,314,4906,3459,3787,705,14728,3323,514,8289,3888,3647,798,20456,4697,852,19058,11169,12966,2692,51429,2429,364,10997,7442
UCL102001,0,0,4,0,14,0,20,3,0,0,0,13,0,15,10,3,41,45,232,9,343,8,0,11,14,70,3,104,12,4,47,77,865,38,1037,5,3,17,16,78,3,126,30,4,84,68,179,9,381,12,0,42,57,128,5,252,22,3,36,35,129,13,243,11,3,25,37,46,3,128,6,3,18,21,13,0,61,5,3,18,19,43,3,96,95,32,190,98,75,5,490,3,0,18,17,77,11,124,460,138,551,367,419,33,1965,66,26,110,35,58,9,305,34,8,100,48,74,11,277,3,3,16,12,31,0,67,5,0,29,38,205,6,277,19,4,20,22,156,32,260,831,238,1383,1040,2906,200,6587,0,0,6,4,3,0,11,0,0,0,0,0,0,3,6,7,10,14,28,3,62,0,0,11,10,20,4,36,3,0,24,22,40,3,93,0,0,7,14,21,0,42,23,3,77,63,181,22,372,10,3,53,46
UCL102002,9,0,37,32,153,13,240,12,5,50,57,318,9,448,94,27,380,455,2576,147,3686,30,7,85,164,612,22,916,56,24,367,598,7444,327,8817,51,12,182,195,613,51,1102,67,17,395,395,1763,136,2781,37,0,224,287,1068,93,1715,35,21,175,299,1314,128,1966,41,27,254,268,483,51,1122,103,45,406,429,452,45,1483,24,10,95,171,408,37,740,350,87,1212,630,713,92,3088,30,11,150,215,758,76,1245,169,125,725,903,1504,117,3555,432,205,1153,255,360,50,2448,419,132,1208,549,1003,114,3430,31,13,129,108,281,23,586,58,22,153,168,1733,51,2183,61,14,219,206,1157,282,1935,2130,804,7601,6371,24717,1865,43488,0,0,23,22,57,9,117,4,0,11,12,23,0,47,42,22,264,283,482,63,1148,9,0,27,29,52,8,128,9,11,129,231,440,57,882,35,7,132,173,252,30,626,68,20,520,692,1842,262,3403,29,9,313,484
UCL102003,3,0,7,13,47,4,77,8,0,17,21,78,3,120,3,3,39,33,307,21,409,0,3,5,25,88,9,136,6,11,74,126,1347,63,1617,5,3,22,28,84,10,154,13,7,92,69,322,28,531,10,9,70,88,332,16,526,0,5,32,54,224,21,334,0,3,17,15,35,0,76,10,8,30,50,24,0,133,4,3,43,29,67,8,158,36,17,194,80,74,17,420,10,0,30,31,151,10,239,30,14,94,140,225,13,510,70,44,235,51,76,7,488,80,24,215,125,196,16,660,4,3,30,24,70,4,135,0,3,31,29,257,15,328,5,4,39,39,213,51,347,304,154,1332,1062,4223,318,7394,0,3,3,5,9,0,25,0,0,0,3,0,0,11,4,0,14,34,41,3,102,0,0,6,5,12,0,21,5,3,36,45,70,6,164,0,3,12,16,32,4,66,14,16,90,129,304,33,591,9,3,91,147
UCL102004,3,0,37,29,102,12,181,101,33,320,320,1616,37,2428,192,50,698,602,2981,112,4631,104,36,265,274,659,22,1350,111,32,729,585,6399,201,8061,47,18,212,202,761,29,1267,133,24,469,348,1642,108,2719,52,14,313,273,1144,94,1896,72,42,338,444,1618,121,2639,36,11,200,122,242,15,626,108,55,522,396,312,27,1407,37,7,139,158,372,33,752,607,186,2205,665,718,84,4460,41,21,202,182,770,37,1245,368,183,1123,971,1540,87,4270,971,235,1691,327,429,60,3719,792,213,2015,672,1100,126,4913,34,14,151,92,242,14,541,73,17,234,205,1749,61,2348,85,19,278,182,1075,242,1878,3964,1199,12123,7051,25467,1534,51342,7,0,28,17,34,5,90,20,16,85,50,73,11,247,59,29,302,221,368,36,1014,37,11,95,60,112,11,323,27,12,198,224,443,45,947,32,13,143,118,188,16,504,133,46,658,663,1588,180,3271,54,17,460,458
UCL102005,3,0,21,20,75,8,139,72,14,209,267,1186,39,1786,221,30,619,622,2481,101,4069,32,8,73,127,493,12,744,56,17,344,519,5463,221,6634,68,16,189,166,550,36,1028,122,16,436,303,1345,90,2324,60,14,307,236,812,66,1486,71,21,207,329,1572,132,2331,66,10,208,117,170,13,578,123,34,437,289,285,30,1194,22,6,80,109,308,25,549,393,135,1245,484,511,76,2848,30,11,133,123,620,54,971,262,134,818,888,1192,96,3392,966,297,1249,258,377,42,3191,456,116,1002,448,726,97,2850,43,9,119,70,205,19,464,68,17,178,158,1470,55,1943,71,14,215,182,965,238,1683,3205,933,8106,5707,20785,1465,40208,3,4,12,8,36,0,62,15,0,37,21,45,4,112,64,13,203,134,214,36,662,17,3,23,18,41,8,109,13,9,99,151,288,30,592,15,6,93,82,149,14,368,65,23,467,530,1429,208,2722,58,23,386,369
UCL111001,3,5,25,16,55,6,103,0,0,6,4,18,0,31,21,17,124,110,696,26,995,3,0,5,17,68,4,99,0,3,55,68,1078,21,1227,6,5,27,25,142,11,217,19,3,78,75,295,19,480,6,4,52,65,209,17,349,5,0,42,73,246,31,398,0,9,24,18,36,7,98,8,8,32,41,15,3,114,3,0,12,16,40,3,80,45,28,170,54,75,12,379,5,3,21,30,117,6,182,42,24,151,125,219,17,587,82,58,236,51,71,10,499,86,36,210,82,120,20,554,0,3,18,10,34,0,56,11,3,25,30,278,13,361,6,3,32,26,189,40,297,362,215,1328,928,4006,252,7089,0,3,9,6,14,5,42,0,0,0,0,0,0,0,14,3,66,48,87,8,228,0,0,11,3,7,0,21,5,0,20,33,75,12,150,0,4,10,13,34,0,57,9,7,88,120,336,36,600,8,3,65,82
UCL111002,4,0,9,14,60,8,93,41,16,134,172,1226,29,1617,29,0,98,157,951,25,1257,14,0,36,70,183,8,311,10,8,75,138,1365,39,1639,5,3,26,40,254,3,334,18,0,82,95,448,24,677,12,0,35,56,229,25,352,8,3,37,68,420,24,564,7,0,14,12,64,5,106,10,3,54,63,70,3,207,3,0,18,21,102,8,159,54,19,260,109,176,16,637,11,3,26,38,200,15,294,58,29,164,233,410,14,915,96,46,236,59,82,9,529,67,21,206,118,187,19,618,0,0,4,15,38,3,67,10,6,43,56,565,15,698,5,5,23,49,314,52,459,460,183,1593,1598,7349,350,11532,0,0,9,13,18,0,34,6,0,28,27,83,5,156,14,5,64,72,148,30,340,0,0,12,8,37,3,60,3,7,37,67,139,17,263,3,3,5,22,43,0,80,16,3,105,146,549,49,865,3,4,57,113
UCL112001,31,0,47,21,49,10,145,4,0,0,0,9,0,14,5,0,7,8,62,4,90,3,0,3,0,17,0,27,6,0,5,14,245,3,276,0,3,11,3,27,3,51,15,0,38,8,127,3,193,5,0,31,21,93,11,158,4,0,4,14,33,11,68,5,0,6,10,15,0,35,7,3,27,16,15,3,70,0,0,4,3,7,0,23,40,18,84,20,29,8,199,3,0,15,6,43,3,71,28,9,46,34,82,10,213,263,38,169,43,75,9,590,42,7,90,30,56,9,241,0,0,11,3,14,0,31,8,0,13,7,80,3,109,7,0,17,9,41,12,82,469,94,633,268,1118,106,2687,11,0,24,10,17,4,63,0,0,0,3,0,0,4,0,0,3,4,11,0,18,0,0,0,0,0,0,0,0,0,9,4,11,0,25,0,3,3,4,3,0,17,6,7,40,34,102,16,204,4,6,36,28
UCL112002,0,3,31,21,50,4,107,0,0,17,13,109,3,147,16,4,65,64,446,22,620,8,0,15,23,62,3,107,4,0,33,43,636,21,740,0,0,4,14,65,11,94,8,3,53,43,204,12,325,4,0,32,25,126,8,198,5,0,4,20,163,6,208,8,4,15,15,46,0,86,3,3,18,14,16,4,62,0,0,11,7,31,3,56,21,11,99,43,55,3,233,3,0,7,16,56,3,92,29,24,127,116,270,20,583,95,45,202,39,76,5,461,51,16,103,58,96,11,333,0,0,9,8,22,0,45,10,0,21,14,177,8,231,8,0,12,11,109,26,172,266,126,907,597,2823,167,4887,0,7,5,5,16,0,36,0,0,0,0,4,0,6,7,0,37,34,71,7,158,0,0,14,10,10,0,43,3,0,20,23,49,3,98,0,0,0,8,17,3,30,4,3,71,64,216,29,384,8,3,51,54
