UCL_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL101001,81,335,359,347,659,807,369,787,70,3803,106,74,79,76,357,572,308,935,18,2528,1223,2376,3157,2985,21432,20130,10811,15535,715,78361,223,222,282,316,2888,3565,1464,2471,110,11537,2573,5278,7790,8723,17753,41315,17295,33490,2152,136382,632,1410,1745,1590,10676,13635,6293,9747,336,46062,1774,12101,10368,7616,16804,15744,7762,13644,1095,86898,1480,13245,13492,6815,10022,8955,5000,10139,1021,70164,2070,3760,4864,6450,15378,18215,9528,18090,1203,79557,589,1497,1234,1376,7873,11022,4473,7401,250,35728,1341,1503,1706,2617,14074,23299,9775,18701,518,73549,289,1154,1088,1068,2946,5591,2701,6163,174,21176,1760,5256,5136,5202,17372,38344,14634,30182,831,118723,728,3642,4834,3637,6912,7870,3044,5004,480,36151,2059,1821,1999,2389,18544,14637,9640,9061,596,60754,1062,8500,3920,3528,9724,9495,4516,8215,498,49456,1279,3927,4774,5446,12480,13315,4962,9299,540,56025,482,3061,1735,1839,2830,3755,1625,2959,221,18507,599,2623,2593,2718,7545,9347,4505,7537,485,37945,1316,4182,4511,3722,11056,14241,4581,8843,12454,64906
UCL102001,3,0,0,6,9,6,3,3,0,33,0,0,0,0,3,5,3,18,0,30,15,22,11,14,135,140,98,116,5,556,4,0,3,3,38,44,18,39,3,150,29,31,52,72,277,532,256,412,23,1690,3,5,3,11,61,50,35,56,0,237,20,132,72,98,192,114,82,107,3,830,11,148,61,67,92,69,35,65,10,550,24,21,22,52,102,110,51,144,7,530,4,10,7,3,55,47,16,27,0,169,0,4,0,3,24,28,16,16,0,78,0,4,5,0,25,29,27,47,0,139,15,30,29,17,153,178,87,122,4,632,12,28,28,27,79,53,23,29,3,282,88,38,40,76,645,690,418,466,21,2473,12,39,20,22,98,92,26,61,8,370,13,35,38,55,100,63,26,46,3,380,3,24,4,6,37,11,10,15,0,123,11,25,10,19,88,87,65,80,0,383,10,27,8,23,89,102,38,69,103,469
UCL102002,13,32,35,48,74,106,41,79,4,436,38,4,14,16,74,118,90,256,10,614,129,145,165,268,1629,1422,910,1210,47,5924,43,21,29,40,365,351,145,231,13,1244,307,465,619,962,1846,4239,1475,2930,153,12985,37,64,59,86,466,566,271,497,15,2062,188,879,589,618,1171,1016,561,920,58,6008,138,1168,530,483,579,475,289,487,58,4204,159,223,244,321,648,777,493,964,54,3878,41,97,72,83,379,460,204,349,15,1695,63,42,59,85,498,629,266,434,20,2094,23,73,47,59,160,226,120,300,16,1019,69,219,225,229,574,1039,442,909,24,3732,72,336,234,273,427,482,140,280,30,2270,191,127,127,188,1569,1055,834,522,43,4652,81,310,205,232,530,612,305,523,19,2821,132,285,375,560,998,959,381,490,44,4234,34,195,88,98,180,167,79,181,14,1045,57,167,158,198,578,705,369,580,27,2852,91,207,184,185,622,738,248,502,648,3429
UCL102003,7,17,8,26,17,12,14,40,4,142,16,4,0,3,6,13,13,103,0,160,17,11,18,60,163,168,90,163,5,697,4,8,3,9,41,45,31,38,3,177,55,101,116,197,337,680,268,537,32,2323,0,12,19,4,70,78,33,73,0,288,30,200,124,177,229,145,98,185,21,1211,39,272,127,173,171,129,70,145,13,1134,27,49,69,85,97,87,61,151,11,634,3,13,11,11,34,27,12,31,0,140,3,15,10,13,19,37,14,49,0,162,9,18,14,16,35,47,22,62,0,231,6,56,31,42,62,112,61,129,3,517,6,65,51,60,81,71,31,54,5,428,41,29,16,44,223,139,88,86,9,674,11,71,38,69,114,120,52,92,5,571,24,71,80,129,192,152,53,101,3,804,3,35,18,34,51,38,24,25,8,237,3,34,29,33,79,99,39,102,3,426,19,39,37,38,82,119,50,108,121,609
UCL102004,10,23,34,38,75,64,33,54,3,334,120,42,60,69,488,620,636,899,32,2955,132,162,177,236,1710,1852,1156,1213,46,6688,56,26,27,65,490,500,218,282,8,1673,267,390,510,769,1765,3572,1302,2605,101,11277,45,68,59,100,428,542,344,521,17,2130,188,1110,678,578,1115,891,559,840,67,6034,138,1577,630,582,556,458,321,604,70,4937,199,265,224,297,789,840,678,1171,56,4528,20,82,53,65,197,228,122,163,3,939,34,52,45,81,468,504,241,342,13,1777,30,85,37,70,146,220,155,316,7,1073,109,296,242,317,805,1338,682,1231,32,5060,69,314,208,283,367,429,180,231,23,2095,208,215,158,219,1737,1267,896,645,38,5388,111,607,318,335,808,803,496,725,37,4238,197,370,543,760,1274,1376,508,869,63,5946,24,283,108,115,133,153,58,143,15,1037,73,179,150,199,676,724,430,646,16,3094,95,197,129,179,568,662,240,464,583,3126
UCL102005,17,22,21,24,31,47,16,52,5,234,110,24,16,36,701,379,370,526,16,2178,156,104,160,203,1369,1402,1209,1097,51,5746,26,17,29,42,301,265,130,199,7,1014,248,308,418,628,1501,3011,1159,2057,123,9455,35,55,71,60,362,391,255,385,11,1626,121,822,502,448,914,704,413,711,57,4686,102,1180,521,415,400,352,195,423,39,3625,175,241,253,344,751,779,582,1165,70,4355,22,48,31,39,159,229,117,146,3,791,48,46,47,69,414,455,193,274,8,1558,16,42,48,43,106,175,101,216,9,756,62,194,177,192,590,869,414,786,27,3305,54,243,157,186,349,353,114,188,26,1672,173,144,155,231,1536,835,720,478,43,4312,99,537,262,282,865,672,340,564,42,3651,147,216,326,398,777,850,295,439,29,3480,23,197,87,84,134,136,49,93,11,820,54,128,111,160,547,684,302,493,24,2504,92,170,164,152,510,595,219,396,527,2830
UCL111001,3,12,10,15,24,25,20,44,3,175,4,0,3,0,5,4,4,20,0,38,29,35,40,77,335,431,308,271,8,1542,0,3,3,8,35,37,21,20,4,132,40,55,46,96,300,528,249,378,20,1709,10,9,13,17,74,84,67,96,0,376,32,166,85,111,206,157,128,145,10,1035,19,203,72,79,112,87,76,123,8,774,23,37,47,70,134,136,93,223,9,780,0,6,5,9,35,31,25,19,3,139,3,3,11,8,21,54,24,28,0,148,5,14,3,4,17,20,14,46,3,120,11,25,18,47,79,116,49,113,6,450,6,36,20,48,70,54,26,51,8,323,33,18,26,57,239,164,117,112,10,776,15,42,31,50,124,113,68,128,10,576,18,36,55,96,151,125,59,92,6,641,3,17,10,7,18,16,13,16,0,99,7,40,22,26,102,108,67,101,5,478,15,36,23,28,107,98,39,73,94,515
UCL111002,9,7,15,22,52,52,30,36,3,226,64,25,43,52,284,338,487,778,23,2102,56,54,57,61,523,544,377,354,16,2034,10,4,9,15,127,107,52,78,0,394,57,89,113,152,396,749,328,647,27,2557,7,19,14,13,123,124,91,135,3,542,32,242,146,136,289,231,170,204,15,1469,23,357,123,110,115,80,43,121,10,989,47,76,63,90,188,211,173,379,19,1250,0,8,9,8,39,43,20,27,4,158,13,11,11,9,71,70,35,60,3,274,8,14,18,10,39,39,39,75,3,239,9,49,36,42,120,207,114,183,5,768,23,58,44,60,101,101,41,73,6,505,35,41,39,33,376,295,196,147,9,1169,28,58,48,61,115,114,57,124,4,608,24,58,64,100,185,184,63,82,10,772,6,44,19,21,21,21,10,14,3,158,15,46,31,46,208,212,123,232,4,924,18,53,38,43,154,204,65,136,136,850
UCL112001,16,11,17,17,78,37,11,35,0,224,0,0,0,0,0,0,7,19,0,28,3,8,9,13,22,40,20,30,3,139,3,0,6,4,10,13,11,3,0,48,14,24,18,24,76,109,44,82,3,387,0,9,3,6,17,13,21,23,0,94,17,100,47,56,102,52,43,51,7,474,12,104,41,37,39,31,24,64,10,354,0,14,11,14,20,25,17,37,3,149,3,6,0,0,12,4,6,5,0,41,0,3,0,7,16,14,8,26,0,79,0,3,3,3,11,3,0,6,0,32,7,25,10,17,49,39,26,58,3,235,0,24,24,20,23,21,15,7,3,139,12,22,8,11,92,43,41,29,3,265,12,75,36,40,202,118,60,132,7,691,15,35,30,59,52,56,20,41,3,309,0,5,3,4,9,9,8,7,0,41,7,12,8,5,35,22,29,20,3,138,8,6,7,8,18,28,13,17,26,126
UCL112002,6,5,8,10,28,36,12,73,4,173,9,3,3,4,13,30,37,89,3,190,17,22,29,30,216,232,146,232,4,928,3,0,0,3,43,45,12,21,0,129,18,34,26,47,177,289,146,271,18,1027,3,13,0,0,40,44,28,54,0,189,16,128,56,65,158,95,62,109,8,691,17,134,48,45,76,52,35,62,9,479,7,35,23,33,66,61,44,137,9,414,8,13,5,4,43,19,12,17,3,123,0,0,0,7,13,14,13,29,0,80,4,4,3,3,12,24,15,23,0,93,3,16,9,24,63,60,25,65,3,267,10,16,23,17,55,35,25,22,0,193,30,30,19,36,292,198,93,70,7,763,20,51,35,40,131,99,51,110,7,537,18,42,34,45,97,99,34,53,3,427,3,19,8,9,20,11,11,11,0,86,7,34,6,15,74,58,36,83,3,306,19,20,12,13,55,43,23,50,67,313
UCL112003,0,4,5,10,12,10,3,11,0,63,3,0,0,0,0,4,11,12,0,34,7,19,8,20,74,88,65,85,5,378,0,0,0,6,28,31,20,28,3,121,10,44,55,73,100,208,87,178,11,773,10,7,7,4,25,35,29,48,0,172,10,82,52,57,66,47,38,91,11,449,7,100,80,73,80,60,45,80,12,542,17,28,22,39,57,80,56,90,10,395,3,10,13,12,18,31,8,34,0,129,3,5,5,8,31,55,25,35,4,166,0,3,3,7,15,15,11,17,0,84,6,51,29,40,48,86,41,111,5,425,0,44,24,29,32,37,17,28,3,228,30,19,26,31,206,124,97,66,3,605,17,73,54,63,111,115,58,116,7,614,28,38,67,88,101,87,42,46,3,503,4,29,31,38,38,31,11,19,3,199,8,21,17,19,43,49,29,45,4,230,13,24,21,22,46,64,21,44,41,294
UCL112004,0,13,6,6,15,23,5,17,0,90,0,0,0,0,16,17,9,24,0,58,6,16,9,11,100,97,64,114,7,424,0,0,0,0,12,8,3,9,0,40,19,22,35,53,92,185,84,155,9,660,0,12,4,7,16,27,17,50,0,127,6,79,28,43,45,56,39,73,0,366,8,92,40,43,42,42,28,72,5,373,11,13,20,30,30,39,37,70,3,258,0,9,5,5,9,21,7,18,0,73,7,9,10,10,15,38,21,31,0,147,0,6,6,8,4,12,8,32,0,87,13,39,12,34,38,70,34,126,4,367,11,26,19,20,24,28,14,22,0,158,4,10,8,3,56,41,33,32,0,192,9,28,22,15,31,56,28,64,3,265,4,19,25,26,57,42,19,57,3,263,0,8,10,6,6,8,7,8,0,61,7,10,17,14,23,34,27,38,0,177,9,27,12,14,22,38,21,42,38,226
UCL112005,0,0,6,11,14,20,5,3,3,71,40,13,15,20,133,141,149,211,10,719,3,9,16,25,102,118,56,67,3,392,0,3,3,0,26,20,0,13,3,77,11,26,29,32,78,147,54,79,8,459,3,6,0,3,17,21,18,17,0,94,10,43,25,43,74,50,27,40,6,319,8,82,37,29,63,31,34,70,7,366,10,13,19,16,25,31,25,58,4,198,0,0,0,0,7,4,3,0,0,19,0,0,0,0,6,3,0,4,0,27,0,4,0,0,15,5,7,14,0,47,0,5,5,5,19,28,7,18,0,87,6,17,21,22,27,21,12,21,0,140,9,11,12,12,81,43,39,23,3,235,3,5,13,10,13,14,3,16,3,79,3,13,21,27,37,31,12,20,0,174,0,7,7,7,9,10,3,10,0,43,9,12,17,13,38,39,33,45,3,206,8,14,18,25,30,38,16,16,40,210
