UCL_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
UCL101001,6552,8022,11626,15162,41914,71371,38814,87789,2747,283998,17305,38320,44245,45104,102421,149507,59230,95345,5193,556667,4768,12511,17345,16983,48575,61834,26801,35793,4540,229152,6414,37063,35309,30120,31979,23741,11512,12930,3558,192633,9042,28358,35469,33036,80980,64609,22260,22886,3153,299794,5475,41559,29644,21647,28717,26607,11017,15788,2802,183251,2634,7183,8866,9661,29107,23121,11457,18743,2658,113438,3802,27166,26135,17504,29683,22385,8678,10631,3626,149613,1328,2912,2609,2290,6247,6756,1993,3885,12334,40357,57316,203098,211247,191514,399633,449926,191761,303787,40619,2048906
UCL102001,97,54,79,153,485,652,475,758,22,2772,166,181,217,340,861,893,459,534,27,3684,64,76,106,158,613,728,361,435,37,2582,85,358,253,336,420,317,157,229,29,2186,148,208,265,399,1230,771,331,302,27,3678,58,436,232,233,320,187,105,119,28,1703,34,49,35,63,214,190,125,193,25,925,51,262,173,189,318,272,109,115,38,1525,20,18,19,25,106,77,30,50,98,430,714,1640,1374,1879,4563,4080,2146,2739,336,19476
UCL102002,419,476,630,933,2278,3361,1835,4098,127,14153,1072,1928,2813,2850,4439,5348,2156,3477,217,24302,508,1003,1219,1688,4300,5687,2261,3163,307,20128,736,2788,2693,3205,2970,1762,1038,944,249,16398,681,2051,2567,2603,4617,3051,1114,1042,189,17910,532,3802,2196,1990,2064,1519,684,1023,199,14004,244,536,549,675,1874,1406,820,1504,153,7765,469,3007,1733,1696,2312,2098,896,1066,259,13537,105,154,120,136,343,360,118,229,644,2217,4762,15750,14519,15776,25194,24598,10927,16553,2339,130416
UCL102003,51,93,113,183,345,499,295,755,19,2353,161,382,446,631,697,747,334,569,37,3994,99,213,214,365,732,878,384,609,63,3561,150,643,566,821,497,299,145,201,50,3382,99,370,411,536,711,374,147,190,21,2881,91,745,367,469,442,264,124,222,55,2776,51,98,113,154,229,178,111,262,17,1215,80,638,395,464,420,286,116,212,51,2670,14,41,14,31,38,51,10,38,136,376,798,3230,2640,3651,4118,3579,1676,3065,450,23208
UCL102004,391,465,608,879,2347,3122,2140,4558,132,14642,1465,2834,3902,4080,6322,7486,3485,5128,282,34997,560,1002,1177,1532,4872,5734,2563,3222,261,20930,702,3572,2973,3428,2827,1744,1048,875,272,17454,802,2145,2831,3009,5309,3246,1392,1168,172,20080,548,4209,2324,2046,1981,1319,679,891,178,14175,316,589,509,572,1753,1804,1254,1563,108,8455,523,3186,1813,1788,2040,1889,695,888,214,13033,111,145,99,125,342,310,112,223,609,2075,5415,18155,16223,17453,27791,26666,13376,18512,2232,145825
UCL102005,308,365,476,705,1866,2508,1550,3338,110,11231,1030,2032,2508,2640,4550,4967,2260,3277,186,23455,506,779,983,1237,4048,4787,2160,2554,266,17321,637,2826,2473,2550,2325,1528,880,788,188,14197,572,1708,2159,2231,4238,2403,938,850,114,15215,383,3227,1879,1514,1614,972,482,654,131,10851,291,524,481,495,1904,1329,1126,1561,128,7840,440,2401,1538,1450,1674,1473,556,861,192,10588,68,118,126,123,289,249,103,151,542,1772,4237,13995,12627,12947,22511,20211,10054,14030,1869,112471
UCL111001,58,66,105,124,334,433,341,742,27,2243,197,282,413,568,781,799,460,617,33,4142,79,140,153,211,704,852,425,506,45,3117,104,487,441,557,491,260,145,164,46,2697,116,306,349,472,757,411,218,123,19,2773,92,661,328,368,332,224,158,165,36,2364,46,80,99,126,328,273,202,282,24,1462,85,509,289,338,361,323,152,128,48,2239,9,28,12,20,51,38,13,42,87,313,773,2571,2190,2784,4140,3612,2118,2771,368,21339
UCL111002,74,88,104,211,492,649,444,1001,25,3085,262,389,591,625,1000,1204,566,863,44,5533,142,234,289,343,1323,1503,874,1168,74,5950,156,681,655,727,718,434,241,224,75,3912,195,478,615,625,1247,747,311,270,29,4508,148,1017,608,516,569,329,176,181,32,3579,120,181,184,216,664,606,573,860,50,3448,118,876,545,503,657,592,268,325,79,3964,24,37,21,28,72,81,34,78,138,508,1244,3978,3603,3793,6738,6128,3499,4968,544,34491
UCL112001,24,33,31,45,145,158,100,247,6,796,88,233,175,222,453,340,201,353,21,2096,30,46,44,89,263,180,101,120,7,888,64,231,171,191,175,97,53,68,28,1083,35,113,107,149,351,114,66,49,11,1005,50,267,133,132,133,57,42,47,17,872,10,44,18,37,62,41,33,62,7,310,47,246,128,115,190,99,40,39,14,926,7,14,5,0,16,14,5,9,31,99,349,1230,820,984,1793,1103,646,999,154,8068
UCL112002,35,42,54,91,261,266,204,501,14,1464,103,206,294,293,575,592,258,457,27,2817,49,92,83,128,519,492,274,408,31,2081,114,432,300,347,382,277,102,121,40,2117,78,196,168,256,577,252,124,104,11,1762,76,434,218,207,259,115,85,108,28,1520,34,42,47,61,197,181,106,252,21,937,69,372,195,186,360,261,106,153,20,1722,11,18,13,12,26,31,16,18,76,219,572,1831,1372,1584,3153,2467,1284,2118,265,14638
UCL112003,32,59,79,118,235,306,203,460,10,1498,158,408,471,489,544,645,273,536,24,3550,51,125,133,171,327,345,178,245,24,1600,88,356,322,347,249,131,120,114,33,1757,47,219,214,238,375,238,112,93,15,1538,31,239,175,143,134,93,49,91,18,980,16,49,42,53,104,93,69,119,15,565,28,298,204,181,152,128,48,84,17,1135,13,12,7,11,31,24,7,14,50,173,461,1766,1649,1753,2151,2005,1052,1752,210,12795
UCL112004,37,70,83,98,142,246,150,459,8,1301,86,246,255,264,269,367,207,401,15,2116,19,94,88,110,244,307,162,219,20,1265,42,201,161,165,154,95,64,60,17,959,27,165,155,157,172,147,56,76,3,968,23,247,137,126,108,103,49,109,14,909,11,25,25,39,73,54,25,82,8,338,34,191,108,112,117,90,46,45,14,756,7,8,8,8,16,14,5,11,40,119,285,1257,1012,1076,1288,1430,765,1468,142,8726
UCL112005,17,11,35,38,110,132,90,203,9,646,41,68,101,119,141,152,74,120,11,832,60,59,69,82,302,293,188,234,14,1304,45,158,175,220,188,114,53,40,16,1004,45,91,116,117,188,119,58,39,13,778,50,227,168,122,125,83,33,49,15,869,33,48,45,64,204,171,170,215,18,973,36,267,179,152,173,166,61,68,29,1130,4,9,10,5,24,15,8,14,47,128,326,946,906,929,1446,1252,736,971,162,7661
UCL112006,50,93,99,150,338,447,261,642,13,2105,161,321,397,497,721,731,317,557,27,3720,52,174,150,247,646,587,254,397,45,2544,91,487,398,555,459,172,130,162,46,2502,105,251,353,443,773,364,155,150,26,2617,89,661,321,356,382,214,128,165,25,2335,31,86,91,120,203,132,109,189,15,979,61,583,326,326,328,300,100,171,45,2254,16,29,22,22,44,43,14,23,93,315,662,2691,2170,2716,3892,2988,1469,2448,335,19363
UCL112007,43,51,55,85,273,336,243,562,15,1663,134,143,240,251,620,651,308,480,21,2855,50,77,81,129,575,535,331,428,34,2230,91,299,237,359,529,273,124,143,37,2079,63,160,201,301,685,378,136,137,15,2077,54,415,208,241,402,197,134,163,22,1832,29,46,47,48,189,199,115,232,15,930,40,331,205,219,384,319,91,164,34,1788,9,12,8,14,34,48,17,31,88,255,523,1534,1287,1645,3684,2939,1498,2332,274,15716
